step,seen_samples,sample_idx,dataset_name,dataset_type,model_variant,seed,metric_accuracy,metric_kappa,student_error_rate,teacher_entropy,divergence_js,drift_flag,drift_severity,regime,alpha,lr,lambda_u,tau,timestamp,supervised_loss,unsupervised_loss
1,64,63,sea_abrupt4,sea,mean_teacher,4,0.578125,-0.031026252983293555,0.16666666666666666,0.6721267700195312,0.0021685161627829075,0,0.0,mild_drift,0.97515,0.00115,0.9,0.8775,1763995953.8153985,0.5646640062332153,0.008708301931619644
2,128,127,sea_abrupt4,sea,mean_teacher,4,0.6640625,0.015032211882605583,0.16666666666666666,0.6726197004318237,0.004320690408349037,0,0.0,mild_drift,0.967725,0.001225,0.8500000000000001,0.86625,1763995953.8224041,0.5703559517860413,0.017709657549858093
3,192,191,sea_abrupt4,sea,mean_teacher,4,0.6510416666666666,-0.0009337068160598634,0.3333333333333333,0.6695581078529358,0.006836636923253536,0,0.0,mild_drift,0.9640124999999999,0.0012625000000000002,0.8250000000000001,0.860625,1763995953.8288405,0.6684690117835999,0.02835184521973133
4,256,255,sea_abrupt4,sea,mean_teacher,4,0.65625,-0.0004440891731059597,0.16666666666666666,0.667131245136261,0.008897404186427593,0,0.0,mild_drift,0.9621562499999999,0.0012812500000000003,0.8125,0.8578125,1763995953.8356626,0.45519402623176575,0.037170253694057465
5,320,319,sea_abrupt4,sea,mean_teacher,4,0.659375,-0.0002294104152326429,0.5,0.6615123748779297,0.011188200674951077,0,0.0,mild_drift,0.9612281249999999,0.001290625,0.80625,0.85640625,1763995953.8429916,0.7587368488311768,0.04730026423931122
6,384,383,sea_abrupt4,sea,mean_teacher,4,0.671875,0.0003718854592788803,0.3333333333333333,0.6665107011795044,0.012587415985763073,0,0.0,mild_drift,0.9607640624999999,0.0012953125,0.8031250000000001,0.855703125,1763995953.8503745,0.6395344138145447,0.05342615395784378
7,448,447,sea_abrupt4,sea,mean_teacher,4,0.6651785714285714,2.9761019017284382e-05,0.3333333333333333,0.6604059934616089,0.008961385115981102,0,0.0,mild_drift,0.9605320312499999,0.0012976562500000002,0.8015625000000001,0.8553515625,1763995953.858037,0.5674558281898499,0.03785628452897072
8,512,511,sea_abrupt4,sea,mean_teacher,4,0.671875,0.008118081180811807,0.0,0.6589589715003967,0.004281512461602688,0,0.0,mild_drift,0.9604160156249999,0.001298828125,0.80078125,0.85517578125,1763995953.8664367,0.41074204444885254,0.017800893634557724
9,576,575,sea_abrupt4,sea,mean_teacher,4,0.6805555555555556,0.0219269102990031,0.5,0.6561554074287415,0.004649612121284008,0,0.0,mild_drift,0.9603580078124999,0.0012994140625,0.800390625,0.855087890625,1763995953.8747392,0.6364567875862122,0.01924426108598709
10,640,639,sea_abrupt4,sea,mean_teacher,4,0.6796875,0.038292382571981635,0.16666666666666666,0.6610825657844543,0.004700427409261465,0,0.0,mild_drift,0.96032900390625,0.0012997070312500002,0.8001953125000001,0.8550439453125,1763995953.8827386,0.591973602771759,0.019352782517671585
11,704,703,sea_abrupt4,sea,mean_teacher,4,0.6875,0.05468750000000003,0.16666666666666666,0.6580430865287781,0.005647081881761551,0,0.0,mild_drift,0.960314501953125,0.0012998535156250003,0.8000976562500001,0.85502197265625,1763995953.8905582,0.5944647192955017,0.0229500662535429
12,768,767,sea_abrupt4,sea,mean_teacher,4,0.6927083333333334,0.060696517412935434,0.3333333333333333,0.6476458311080933,0.006085128057748079,0,0.0,mild_drift,0.9603072509765624,0.0012999267578125001,0.800048828125,0.855010986328125,1763995953.8985007,0.5841313004493713,0.02496263012290001
