track,phase,dataset,dataset_kind,base_dataset_name,unit,n_runs,group,monitor_preset,confirm_theta,confirm_window,confirm_cooldown,confirm_rule,perm_stat,delta_k,perm_alpha,perm_pre_n,perm_post_n,perm_n_perm,weights,horizon_mean,acc_final_mean,acc_final_std,acc_min@2000_mean,acc_min@2000_std,miss_tol500_mean,conf_P90_mean,MTFA_win_mean,MTFA_win_std,confirm_rate_per_10k_mean,confirm_rate_per_10k_std,candidate_count_mean,confirmed_count_mean,run_index_json
AL,quick,sea_nodrift,nodrift,sea_abrupt4,sample_idx,1,A_weighted_n5,"error_divergence_ph_meta@error.threshold=0.10,error.min_instances=5",0.5,3,200,weighted,N/A,N/A,N/A,N/A,N/A,N/A,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",51200.0,0.88708984375,,0.66552734375,,,,335.682119205298,,29.6875,,152.0,152.0,"{""sea_nodrift"": {""base_dataset_name"": ""sea_abrupt4"", ""dataset_kind"": ""nodrift"", ""stream_kwargs"": {""concept_ids"": [0], ""concept_length"": 50000, ""drift_type"": ""abrupt""}, ""runs"": [{""seed"": 1, ""run_id"": ""20260110-155041-uki_A_weighted_n5"", ""log_path"": ""logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260110-155041-uki_A_weighted_n5/sea_abrupt4__ts_drift_adapt__seed1.csv""}]}, ""sine_nodrift"": {""base_dataset_name"": ""sine_abrupt4"", ""dataset_kind"": ""nodrift"", ""stream_kwargs"": {""concept_ids"": [0], ""concept_length"": 50000, ""drift_type"": ""abrupt""}, ""runs"": [{""seed"": 1, ""run_id"": ""20260110-155041-uki_A_weighted_n5"", ""log_path"": ""logs/trackAL_perm_confirm_sweep/sine_abrupt4/ts_drift_adapt/seed1/20260110-155041-uki_A_weighted_n5/sine_abrupt4__ts_drift_adapt__seed1.csv""}]}, ""sea_abrupt4"": {""base_dataset_name"": ""sea_abrupt4"", ""dataset_kind"": ""drift"", ""stream_kwargs"": {}, ""runs"": [{""seed"": 1, ""run_id"": ""20260110-155041-uki_A_weighted_n5"", ""log_path"": ""logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260110-155041-uki_A_weighted_n5/sea_abrupt4__ts_drift_adapt__seed1.csv""}]}, ""sine_abrupt4"": {""base_dataset_name"": ""sine_abrupt4"", ""dataset_kind"": ""drift"", ""stream_kwargs"": {}, ""runs"": [{""seed"": 1, ""run_id"": ""20260110-155041-uki_A_weighted_n5"", ""log_path"": ""logs/trackAL_perm_confirm_sweep/sine_abrupt4/ts_drift_adapt/seed1/20260110-155041-uki_A_weighted_n5/sine_abrupt4__ts_drift_adapt__seed1.csv""}]}}"
AL,quick,sine_nodrift,nodrift,sine_abrupt4,sample_idx,1,A_weighted_n5,"error_divergence_ph_meta@error.threshold=0.10,error.min_instances=5",0.5,3,200,weighted,N/A,N/A,N/A,N/A,N/A,N/A,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",50000.0,0.67064,,0.6431834795321637,,,,341.1862068965517,,29.2,,146.0,146.0,"{""sea_nodrift"": {""base_dataset_name"": ""sea_abrupt4"", ""dataset_kind"": ""nodrift"", ""stream_kwargs"": {""concept_ids"": [0], ""concept_length"": 50000, ""drift_type"": ""abrupt""}, ""runs"": [{""seed"": 1, ""run_id"": ""20260110-155041-uki_A_weighted_n5"", ""log_path"": ""logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260110-155041-uki_A_weighted_n5/sea_abrupt4__ts_drift_adapt__seed1.csv""}]}, ""sine_nodrift"": {""base_dataset_name"": ""sine_abrupt4"", ""dataset_kind"": ""nodrift"", ""stream_kwargs"": {""concept_ids"": [0], ""concept_length"": 50000, ""drift_type"": ""abrupt""}, ""runs"": [{""seed"": 1, ""run_id"": ""20260110-155041-uki_A_weighted_n5"", ""log_path"": ""logs/trackAL_perm_confirm_sweep/sine_abrupt4/ts_drift_adapt/seed1/20260110-155041-uki_A_weighted_n5/sine_abrupt4__ts_drift_adapt__seed1.csv""}]}, ""sea_abrupt4"": {""base_dataset_name"": ""sea_abrupt4"", ""dataset_kind"": ""drift"", ""stream_kwargs"": {}, ""runs"": [{""seed"": 1, ""run_id"": ""20260110-155041-uki_A_weighted_n5"", ""log_path"": ""logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260110-155041-uki_A_weighted_n5/sea_abrupt4__ts_drift_adapt__seed1.csv""}]}, ""sine_abrupt4"": {""base_dataset_name"": ""sine_abrupt4"", ""dataset_kind"": ""drift"", ""stream_kwargs"": {}, ""runs"": [{""seed"": 1, ""run_id"": ""20260110-155041-uki_A_weighted_n5"", ""log_path"": ""logs/trackAL_perm_confirm_sweep/sine_abrupt4/ts_drift_adapt/seed1/20260110-155041-uki_A_weighted_n5/sine_abrupt4__ts_drift_adapt__seed1.csv""}]}}"
AL,quick,sea_abrupt4,drift,sea_abrupt4,sample_idx,1,A_weighted_n5,"error_divergence_ph_meta@error.threshold=0.10,error.min_instances=5",0.5,3,200,weighted,N/A,N/A,N/A,N/A,N/A,N/A,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",51200.0,0.88708984375,,0.66552734375,,0.0,288.6,344.81632653061223,,,,152.0,152.0,"{""sea_nodrift"": {""base_dataset_name"": ""sea_abrupt4"", ""dataset_kind"": ""nodrift"", ""stream_kwargs"": {""concept_ids"": [0], ""concept_length"": 50000, ""drift_type"": ""abrupt""}, ""runs"": [{""seed"": 1, ""run_id"": ""20260110-155041-uki_A_weighted_n5"", ""log_path"": ""logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260110-155041-uki_A_weighted_n5/sea_abrupt4__ts_drift_adapt__seed1.csv""}]}, ""sine_nodrift"": {""base_dataset_name"": ""sine_abrupt4"", ""dataset_kind"": ""nodrift"", ""stream_kwargs"": {""concept_ids"": [0], ""concept_length"": 50000, ""drift_type"": ""abrupt""}, ""runs"": [{""seed"": 1, ""run_id"": ""20260110-155041-uki_A_weighted_n5"", ""log_path"": ""logs/trackAL_perm_confirm_sweep/sine_abrupt4/ts_drift_adapt/seed1/20260110-155041-uki_A_weighted_n5/sine_abrupt4__ts_drift_adapt__seed1.csv""}]}, ""sea_abrupt4"": {""base_dataset_name"": ""sea_abrupt4"", ""dataset_kind"": ""drift"", ""stream_kwargs"": {}, ""runs"": [{""seed"": 1, ""run_id"": ""20260110-155041-uki_A_weighted_n5"", ""log_path"": ""logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260110-155041-uki_A_weighted_n5/sea_abrupt4__ts_drift_adapt__seed1.csv""}]}, ""sine_abrupt4"": {""base_dataset_name"": ""sine_abrupt4"", ""dataset_kind"": ""drift"", ""stream_kwargs"": {}, ""runs"": [{""seed"": 1, ""run_id"": ""20260110-155041-uki_A_weighted_n5"", ""log_path"": ""logs/trackAL_perm_confirm_sweep/sine_abrupt4/ts_drift_adapt/seed1/20260110-155041-uki_A_weighted_n5/sine_abrupt4__ts_drift_adapt__seed1.csv""}]}}"
AL,quick,sine_abrupt4,drift,sine_abrupt4,sample_idx,1,A_weighted_n5,"error_divergence_ph_meta@error.threshold=0.10,error.min_instances=5",0.5,3,200,weighted,N/A,N/A,N/A,N/A,N/A,N/A,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",50000.0,0.67064,,0.6431834795321637,,0.0,279.0,350.86524822695037,,,,146.0,146.0,"{""sea_nodrift"": {""base_dataset_name"": ""sea_abrupt4"", ""dataset_kind"": ""nodrift"", ""stream_kwargs"": {""concept_ids"": [0], ""concept_length"": 50000, ""drift_type"": ""abrupt""}, ""runs"": [{""seed"": 1, ""run_id"": ""20260110-155041-uki_A_weighted_n5"", ""log_path"": ""logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260110-155041-uki_A_weighted_n5/sea_abrupt4__ts_drift_adapt__seed1.csv""}]}, ""sine_nodrift"": {""base_dataset_name"": ""sine_abrupt4"", ""dataset_kind"": ""nodrift"", ""stream_kwargs"": {""concept_ids"": [0], ""concept_length"": 50000, ""drift_type"": ""abrupt""}, ""runs"": [{""seed"": 1, ""run_id"": ""20260110-155041-uki_A_weighted_n5"", ""log_path"": ""logs/trackAL_perm_confirm_sweep/sine_abrupt4/ts_drift_adapt/seed1/20260110-155041-uki_A_weighted_n5/sine_abrupt4__ts_drift_adapt__seed1.csv""}]}, ""sea_abrupt4"": {""base_dataset_name"": ""sea_abrupt4"", ""dataset_kind"": ""drift"", ""stream_kwargs"": {}, ""runs"": [{""seed"": 1, ""run_id"": ""20260110-155041-uki_A_weighted_n5"", ""log_path"": ""logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260110-155041-uki_A_weighted_n5/sea_abrupt4__ts_drift_adapt__seed1.csv""}]}, ""sine_abrupt4"": {""base_dataset_name"": ""sine_abrupt4"", ""dataset_kind"": ""drift"", ""stream_kwargs"": {}, ""runs"": [{""seed"": 1, ""run_id"": ""20260110-155041-uki_A_weighted_n5"", ""log_path"": ""logs/trackAL_perm_confirm_sweep/sine_abrupt4/ts_drift_adapt/seed1/20260110-155041-uki_A_weighted_n5/sine_abrupt4__ts_drift_adapt__seed1.csv""}]}}"
AL,quick,sea_nodrift,nodrift,sea_abrupt4,sample_idx,1,P_perm_fused_score_a0.01_pre200_post50_n5,"error_divergence_ph_meta@error.threshold=0.10,error.min_instances=5",0.5,3,200,perm_test,fused_score,N/A,0.01,200,50,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",51200.0,0.87080078125,,0.72314453125,,,,,,0.0,,154.0,0.0,"{""sea_nodrift"": {""base_dataset_name"": ""sea_abrupt4"", ""dataset_kind"": ""nodrift"", ""stream_kwargs"": {""concept_ids"": [0], ""concept_length"": 50000, ""drift_type"": ""abrupt""}, ""runs"": [{""seed"": 1, ""run_id"": ""20260110-155101-caq_P_perm_fused_score_a0.01_pre200_post50_n5"", ""log_path"": ""logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260110-155101-caq_P_perm_fused_score_a0.01_pre200_post50_n5/sea_abrupt4__ts_drift_adapt__seed1.csv""}]}, ""sine_nodrift"": {""base_dataset_name"": ""sine_abrupt4"", ""dataset_kind"": ""nodrift"", ""stream_kwargs"": {""concept_ids"": [0], ""concept_length"": 50000, ""drift_type"": ""abrupt""}, ""runs"": [{""seed"": 1, ""run_id"": ""20260110-155101-caq_P_perm_fused_score_a0.01_pre200_post50_n5"", ""log_path"": ""logs/trackAL_perm_confirm_sweep/sine_abrupt4/ts_drift_adapt/seed1/20260110-155101-caq_P_perm_fused_score_a0.01_pre200_post50_n5/sine_abrupt4__ts_drift_adapt__seed1.csv""}]}, ""sea_abrupt4"": {""base_dataset_name"": ""sea_abrupt4"", ""dataset_kind"": ""drift"", ""stream_kwargs"": {}, ""runs"": [{""seed"": 1, ""run_id"": ""20260110-155101-caq_P_perm_fused_score_a0.01_pre200_post50_n5"", ""log_path"": ""logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260110-155101-caq_P_perm_fused_score_a0.01_pre200_post50_n5/sea_abrupt4__ts_drift_adapt__seed1.csv""}]}, ""sine_abrupt4"": {""base_dataset_name"": ""sine_abrupt4"", ""dataset_kind"": ""drift"", ""stream_kwargs"": {}, ""runs"": [{""seed"": 1, ""run_id"": ""20260110-155101-caq_P_perm_fused_score_a0.01_pre200_post50_n5"", ""log_path"": ""logs/trackAL_perm_confirm_sweep/sine_abrupt4/ts_drift_adapt/seed1/20260110-155101-caq_P_perm_fused_score_a0.01_pre200_post50_n5/sine_abrupt4__ts_drift_adapt__seed1.csv""}]}}"
AL,quick,sine_nodrift,nodrift,sine_abrupt4,sample_idx,1,P_perm_fused_score_a0.01_pre200_post50_n5,"error_divergence_ph_meta@error.threshold=0.10,error.min_instances=5",0.5,3,200,perm_test,fused_score,N/A,0.01,200,50,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",50000.0,0.71446,,0.6888292910447761,,,,,,0.0,,146.0,0.0,"{""sea_nodrift"": {""base_dataset_name"": ""sea_abrupt4"", ""dataset_kind"": ""nodrift"", ""stream_kwargs"": {""concept_ids"": [0], ""concept_length"": 50000, ""drift_type"": ""abrupt""}, ""runs"": [{""seed"": 1, ""run_id"": ""20260110-155101-caq_P_perm_fused_score_a0.01_pre200_post50_n5"", ""log_path"": ""logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260110-155101-caq_P_perm_fused_score_a0.01_pre200_post50_n5/sea_abrupt4__ts_drift_adapt__seed1.csv""}]}, ""sine_nodrift"": {""base_dataset_name"": ""sine_abrupt4"", ""dataset_kind"": ""nodrift"", ""stream_kwargs"": {""concept_ids"": [0], ""concept_length"": 50000, ""drift_type"": ""abrupt""}, ""runs"": [{""seed"": 1, ""run_id"": ""20260110-155101-caq_P_perm_fused_score_a0.01_pre200_post50_n5"", ""log_path"": ""logs/trackAL_perm_confirm_sweep/sine_abrupt4/ts_drift_adapt/seed1/20260110-155101-caq_P_perm_fused_score_a0.01_pre200_post50_n5/sine_abrupt4__ts_drift_adapt__seed1.csv""}]}, ""sea_abrupt4"": {""base_dataset_name"": ""sea_abrupt4"", ""dataset_kind"": ""drift"", ""stream_kwargs"": {}, ""runs"": [{""seed"": 1, ""run_id"": ""20260110-155101-caq_P_perm_fused_score_a0.01_pre200_post50_n5"", ""log_path"": ""logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260110-155101-caq_P_perm_fused_score_a0.01_pre200_post50_n5/sea_abrupt4__ts_drift_adapt__seed1.csv""}]}, ""sine_abrupt4"": {""base_dataset_name"": ""sine_abrupt4"", ""dataset_kind"": ""drift"", ""stream_kwargs"": {}, ""runs"": [{""seed"": 1, ""run_id"": ""20260110-155101-caq_P_perm_fused_score_a0.01_pre200_post50_n5"", ""log_path"": ""logs/trackAL_perm_confirm_sweep/sine_abrupt4/ts_drift_adapt/seed1/20260110-155101-caq_P_perm_fused_score_a0.01_pre200_post50_n5/sine_abrupt4__ts_drift_adapt__seed1.csv""}]}}"
AL,quick,sea_abrupt4,drift,sea_abrupt4,sample_idx,1,P_perm_fused_score_a0.01_pre200_post50_n5,"error_divergence_ph_meta@error.threshold=0.10,error.min_instances=5",0.5,3,200,perm_test,fused_score,N/A,0.01,200,50,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",51200.0,0.87080078125,,0.72314453125,,1.0,10840.0,,,,,154.0,0.0,"{""sea_nodrift"": {""base_dataset_name"": ""sea_abrupt4"", ""dataset_kind"": ""nodrift"", ""stream_kwargs"": {""concept_ids"": [0], ""concept_length"": 50000, ""drift_type"": ""abrupt""}, ""runs"": [{""seed"": 1, ""run_id"": ""20260110-155101-caq_P_perm_fused_score_a0.01_pre200_post50_n5"", ""log_path"": ""logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260110-155101-caq_P_perm_fused_score_a0.01_pre200_post50_n5/sea_abrupt4__ts_drift_adapt__seed1.csv""}]}, ""sine_nodrift"": {""base_dataset_name"": ""sine_abrupt4"", ""dataset_kind"": ""nodrift"", ""stream_kwargs"": {""concept_ids"": [0], ""concept_length"": 50000, ""drift_type"": ""abrupt""}, ""runs"": [{""seed"": 1, ""run_id"": ""20260110-155101-caq_P_perm_fused_score_a0.01_pre200_post50_n5"", ""log_path"": ""logs/trackAL_perm_confirm_sweep/sine_abrupt4/ts_drift_adapt/seed1/20260110-155101-caq_P_perm_fused_score_a0.01_pre200_post50_n5/sine_abrupt4__ts_drift_adapt__seed1.csv""}]}, ""sea_abrupt4"": {""base_dataset_name"": ""sea_abrupt4"", ""dataset_kind"": ""drift"", ""stream_kwargs"": {}, ""runs"": [{""seed"": 1, ""run_id"": ""20260110-155101-caq_P_perm_fused_score_a0.01_pre200_post50_n5"", ""log_path"": ""logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260110-155101-caq_P_perm_fused_score_a0.01_pre200_post50_n5/sea_abrupt4__ts_drift_adapt__seed1.csv""}]}, ""sine_abrupt4"": {""base_dataset_name"": ""sine_abrupt4"", ""dataset_kind"": ""drift"", ""stream_kwargs"": {}, ""runs"": [{""seed"": 1, ""run_id"": ""20260110-155101-caq_P_perm_fused_score_a0.01_pre200_post50_n5"", ""log_path"": ""logs/trackAL_perm_confirm_sweep/sine_abrupt4/ts_drift_adapt/seed1/20260110-155101-caq_P_perm_fused_score_a0.01_pre200_post50_n5/sine_abrupt4__ts_drift_adapt__seed1.csv""}]}}"
AL,quick,sine_abrupt4,drift,sine_abrupt4,sample_idx,1,P_perm_fused_score_a0.01_pre200_post50_n5,"error_divergence_ph_meta@error.threshold=0.10,error.min_instances=5",0.5,3,200,perm_test,fused_score,N/A,0.01,200,50,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",50000.0,0.71446,,0.6888292910447761,,1.0,10000.0,,,,,146.0,0.0,"{""sea_nodrift"": {""base_dataset_name"": ""sea_abrupt4"", ""dataset_kind"": ""nodrift"", ""stream_kwargs"": {""concept_ids"": [0], ""concept_length"": 50000, ""drift_type"": ""abrupt""}, ""runs"": [{""seed"": 1, ""run_id"": ""20260110-155101-caq_P_perm_fused_score_a0.01_pre200_post50_n5"", ""log_path"": ""logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260110-155101-caq_P_perm_fused_score_a0.01_pre200_post50_n5/sea_abrupt4__ts_drift_adapt__seed1.csv""}]}, ""sine_nodrift"": {""base_dataset_name"": ""sine_abrupt4"", ""dataset_kind"": ""nodrift"", ""stream_kwargs"": {""concept_ids"": [0], ""concept_length"": 50000, ""drift_type"": ""abrupt""}, ""runs"": [{""seed"": 1, ""run_id"": ""20260110-155101-caq_P_perm_fused_score_a0.01_pre200_post50_n5"", ""log_path"": ""logs/trackAL_perm_confirm_sweep/sine_abrupt4/ts_drift_adapt/seed1/20260110-155101-caq_P_perm_fused_score_a0.01_pre200_post50_n5/sine_abrupt4__ts_drift_adapt__seed1.csv""}]}, ""sea_abrupt4"": {""base_dataset_name"": ""sea_abrupt4"", ""dataset_kind"": ""drift"", ""stream_kwargs"": {}, ""runs"": [{""seed"": 1, ""run_id"": ""20260110-155101-caq_P_perm_fused_score_a0.01_pre200_post50_n5"", ""log_path"": ""logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260110-155101-caq_P_perm_fused_score_a0.01_pre200_post50_n5/sea_abrupt4__ts_drift_adapt__seed1.csv""}]}, ""sine_abrupt4"": {""base_dataset_name"": ""sine_abrupt4"", ""dataset_kind"": ""drift"", ""stream_kwargs"": {}, ""runs"": [{""seed"": 1, ""run_id"": ""20260110-155101-caq_P_perm_fused_score_a0.01_pre200_post50_n5"", ""log_path"": ""logs/trackAL_perm_confirm_sweep/sine_abrupt4/ts_drift_adapt/seed1/20260110-155101-caq_P_perm_fused_score_a0.01_pre200_post50_n5/sine_abrupt4__ts_drift_adapt__seed1.csv""}]}}"
AL,quick,sea_nodrift,nodrift,sea_abrupt4,sample_idx,1,P_perm_delta_fused_score_a0.01_pre200_post50_dk50_n5,"error_divergence_ph_meta@error.threshold=0.10,error.min_instances=5",0.5,3,200,perm_test,delta_fused_score,50,0.01,200,50,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",51200.0,0.87474609375,,0.71923828125,,,,,,0.0,,152.0,0.0,"{""sea_nodrift"": {""base_dataset_name"": ""sea_abrupt4"", ""dataset_kind"": ""nodrift"", ""stream_kwargs"": {""concept_ids"": [0], ""concept_length"": 50000, ""drift_type"": ""abrupt""}, ""runs"": [{""seed"": 1, ""run_id"": ""20260110-155118-awx_P_perm_delta_fused_score_a0.01_pre200_post50_dk50_n5"", ""log_path"": ""logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260110-155118-awx_P_perm_delta_fused_score_a0.01_pre200_post50_dk50_n5/sea_abrupt4__ts_drift_adapt__seed1.csv""}]}, ""sine_nodrift"": {""base_dataset_name"": ""sine_abrupt4"", ""dataset_kind"": ""nodrift"", ""stream_kwargs"": {""concept_ids"": [0], ""concept_length"": 50000, ""drift_type"": ""abrupt""}, ""runs"": [{""seed"": 1, ""run_id"": ""20260110-155118-awx_P_perm_delta_fused_score_a0.01_pre200_post50_dk50_n5"", ""log_path"": ""logs/trackAL_perm_confirm_sweep/sine_abrupt4/ts_drift_adapt/seed1/20260110-155118-awx_P_perm_delta_fused_score_a0.01_pre200_post50_dk50_n5/sine_abrupt4__ts_drift_adapt__seed1.csv""}]}, ""sea_abrupt4"": {""base_dataset_name"": ""sea_abrupt4"", ""dataset_kind"": ""drift"", ""stream_kwargs"": {}, ""runs"": [{""seed"": 1, ""run_id"": ""20260110-155118-awx_P_perm_delta_fused_score_a0.01_pre200_post50_dk50_n5"", ""log_path"": ""logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260110-155118-awx_P_perm_delta_fused_score_a0.01_pre200_post50_dk50_n5/sea_abrupt4__ts_drift_adapt__seed1.csv""}]}, ""sine_abrupt4"": {""base_dataset_name"": ""sine_abrupt4"", ""dataset_kind"": ""drift"", ""stream_kwargs"": {}, ""runs"": [{""seed"": 1, ""run_id"": ""20260110-155118-awx_P_perm_delta_fused_score_a0.01_pre200_post50_dk50_n5"", ""log_path"": ""logs/trackAL_perm_confirm_sweep/sine_abrupt4/ts_drift_adapt/seed1/20260110-155118-awx_P_perm_delta_fused_score_a0.01_pre200_post50_dk50_n5/sine_abrupt4__ts_drift_adapt__seed1.csv""}]}}"
AL,quick,sine_nodrift,nodrift,sine_abrupt4,sample_idx,1,P_perm_delta_fused_score_a0.01_pre200_post50_dk50_n5,"error_divergence_ph_meta@error.threshold=0.10,error.min_instances=5",0.5,3,200,perm_test,delta_fused_score,50,0.01,200,50,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",50000.0,0.71122,,0.6934788406827881,,,,,,0.0,,148.0,0.0,"{""sea_nodrift"": {""base_dataset_name"": ""sea_abrupt4"", ""dataset_kind"": ""nodrift"", ""stream_kwargs"": {""concept_ids"": [0], ""concept_length"": 50000, ""drift_type"": ""abrupt""}, ""runs"": [{""seed"": 1, ""run_id"": ""20260110-155118-awx_P_perm_delta_fused_score_a0.01_pre200_post50_dk50_n5"", ""log_path"": ""logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260110-155118-awx_P_perm_delta_fused_score_a0.01_pre200_post50_dk50_n5/sea_abrupt4__ts_drift_adapt__seed1.csv""}]}, ""sine_nodrift"": {""base_dataset_name"": ""sine_abrupt4"", ""dataset_kind"": ""nodrift"", ""stream_kwargs"": {""concept_ids"": [0], ""concept_length"": 50000, ""drift_type"": ""abrupt""}, ""runs"": [{""seed"": 1, ""run_id"": ""20260110-155118-awx_P_perm_delta_fused_score_a0.01_pre200_post50_dk50_n5"", ""log_path"": ""logs/trackAL_perm_confirm_sweep/sine_abrupt4/ts_drift_adapt/seed1/20260110-155118-awx_P_perm_delta_fused_score_a0.01_pre200_post50_dk50_n5/sine_abrupt4__ts_drift_adapt__seed1.csv""}]}, ""sea_abrupt4"": {""base_dataset_name"": ""sea_abrupt4"", ""dataset_kind"": ""drift"", ""stream_kwargs"": {}, ""runs"": [{""seed"": 1, ""run_id"": ""20260110-155118-awx_P_perm_delta_fused_score_a0.01_pre200_post50_dk50_n5"", ""log_path"": ""logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260110-155118-awx_P_perm_delta_fused_score_a0.01_pre200_post50_dk50_n5/sea_abrupt4__ts_drift_adapt__seed1.csv""}]}, ""sine_abrupt4"": {""base_dataset_name"": ""sine_abrupt4"", ""dataset_kind"": ""drift"", ""stream_kwargs"": {}, ""runs"": [{""seed"": 1, ""run_id"": ""20260110-155118-awx_P_perm_delta_fused_score_a0.01_pre200_post50_dk50_n5"", ""log_path"": ""logs/trackAL_perm_confirm_sweep/sine_abrupt4/ts_drift_adapt/seed1/20260110-155118-awx_P_perm_delta_fused_score_a0.01_pre200_post50_dk50_n5/sine_abrupt4__ts_drift_adapt__seed1.csv""}]}}"
