step,seen_samples,sample_idx,dataset_name,dataset_type,model_variant,seed,metric_accuracy,metric_kappa,student_error_rate,teacher_entropy,divergence_js,drift_flag,monitor_severity,drift_severity_raw,drift_severity,regime,alpha,lr,lambda_u,tau,timestamp,supervised_loss,unsupervised_loss
1,256,255,NOAA,uspds_csv,ts_drift_adapt_severity,3,0.37109375,0.0,0.5,0.623258113861084,0.0024871269706636667,0,0.0,0.0,0.0,mild_drift,0.980075,0.000575,0.6299999999999999,0.8775,1764739516.803225,0.7143731713294983,0.009920402429997921
2,512,511,NOAA,uspds_csv,ts_drift_adapt_severity,3,0.30078125,-0.0005786342049238496,0.9166666666666666,0.625204861164093,0.0031447841320186853,0,0.0,0.0,0.0,mild_drift,0.9726125,0.0006125,0.595,0.86625,1764739516.8118932,0.9820758700370789,0.012393087148666382
3,768,767,NOAA,uspds_csv,ts_drift_adapt_severity,3,0.28515625,-0.005897509304322958,0.6666666666666666,0.6268525123596191,0.005084776785224676,0,0.0,0.0,0.0,mild_drift,0.9688812499999999,0.0006312500000000001,0.5774999999999999,0.860625,1764739516.8198779,0.8223252296447754,0.019945701584219933
4,1024,1023,NOAA,uspds_csv,ts_drift_adapt_severity,3,0.3330078125,-0.008222716841000566,0.5,0.6246994137763977,0.00832404475659132,0,0.0,0.0,0.0,mild_drift,0.9670156249999999,0.0006406250000000001,0.5687499999999999,0.8578125,1764739516.8278406,0.7267401218414307,0.03257112205028534
5,1280,1279,NOAA,uspds_csv,ts_drift_adapt_severity,3,0.33984375,-0.003931818772485491,0.6666666666666666,0.6294395327568054,0.012122674845159054,0,0.0,0.0,0.0,mild_drift,0.9660828124999999,0.0006453125,0.5643749999999998,0.85640625,1764739516.8359842,0.7117135524749756,0.04754262417554855
6,1536,1535,NOAA,uspds_csv,ts_drift_adapt_severity,3,0.3528645833333333,0.0009305028248809388,0.8333333333333334,0.636029064655304,0.013702228665351868,0,0.0,0.0,0.0,mild_drift,0.9656164062499999,0.00064765625,0.5621874999999998,0.855703125,1764739516.8443887,0.7389507293701172,0.053981583565473557
7,1792,1791,NOAA,uspds_csv,ts_drift_adapt_severity,3,0.38839285714285715,0.006908045430688598,0.4166666666666667,0.6359468102455139,0.019767671823501587,0,0.0,0.0,0.0,mild_drift,0.9653832031249999,0.0006488281250000001,0.56109375,0.8553515625,1764739516.8535128,0.6647418737411499,0.07815150916576385
8,2048,2047,NOAA,uspds_csv,ts_drift_adapt_severity,3,0.421875,0.008103436004126576,0.3333333333333333,0.6376599073410034,0.024459337815642357,0,0.0,0.0,0.0,mild_drift,0.9652666015625,0.0006494140625,0.560546875,0.85517578125,1764739516.8626027,0.6667938828468323,0.09717043489217758
9,2304,2303,NOAA,uspds_csv,ts_drift_adapt_severity,3,0.4535590277777778,0.01680231352116457,0.08333333333333333,0.6485030651092529,0.026660796254873276,0,0.0,0.0,0.0,mild_drift,0.96520830078125,0.00064970703125,0.5602734375,0.855087890625,1764739516.8719141,0.5372089743614197,0.10674712061882019
10,2560,2559,NOAA,uspds_csv,ts_drift_adapt_severity,3,0.4796875,0.01920222741235898,0.25,0.6496216654777527,0.03305450454354286,0,0.0,0.0,0.0,mild_drift,0.965179150390625,0.0006498535156250001,0.5601367187499999,0.8550439453125,1764739516.880938,0.5955687165260315,0.13328740000724792
11,2816,2815,NOAA,uspds_csv,ts_drift_adapt_severity,3,0.4968039772727273,0.011513227974597539,0.4166666666666667,0.6557490825653076,0.03558501973748207,0,0.0,0.0,0.0,mild_drift,0.9651645751953124,0.0006499267578125001,0.560068359375,0.85502197265625,1764739516.8900285,0.656642735004425,0.14457617700099945
12,3072,3071,NOAA,uspds_csv,ts_drift_adapt_severity,3,0.5211588541666666,0.025019029651735674,0.4166666666666667,0.6605977416038513,0.03439494967460632,0,0.0,0.0,0.0,mild_drift,0.9651572875976562,0.0006499633789062501,0.5600341796874999,0.855010986328125,1764739516.8991642,0.6816692352294922,0.14013956487178802
13,3328,3327,NOAA,uspds_csv,ts_drift_adapt_severity,3,0.5360576923076923,0.024591218869934428,0.3333333333333333,0.665962815284729,0.03594141826033592,0,0.0,0.0,0.0,mild_drift,0.9651536437988281,0.000649981689453125,0.56001708984375,0.8550054931640625,1764739516.9084303,0.6202741265296936,0.14726966619491577
14,3584,3583,NOAA,uspds_csv,ts_drift_adapt_severity,3,0.5457589285714286,0.01877044945755128,0.25,0.669969379901886,0.03128410503268242,0,0.0,0.0,0.0,mild_drift,0.965151821899414,0.0006499908447265626,0.560008544921875,0.8550027465820312,1764739516.9176674,0.5514273047447205,0.12803435325622559
15,3840,3839,NOAA,uspds_csv,ts_drift_adapt_severity,3,0.55625,0.017452141154762846,0.16666666666666666,0.6733068227767944,0.031361497938632965,0,0.0,0.0,0.0,mild_drift,0.965150910949707,0.0006499954223632813,0.5600042724609375,0.8550013732910156,1764739516.926856,0.540891706943512,0.12865738570690155
16,4096,4095,NOAA,uspds_csv,ts_drift_adapt_severity,3,0.564697265625,0.015104175657247415,0.25,0.6745184063911438,0.030966665595769882,0,0.0,0.0,0.0,mild_drift,0.9651504554748535,0.0006499977111816407,0.5600021362304688,0.8550006866455078,1764739516.936,0.6006636619567871,0.1271539330482483
17,4352,4351,NOAA,uspds_csv,ts_drift_adapt_severity,3,0.5707720588235294,0.010962999875420433,0.25,0.6787500977516174,0.027441296726465225,0,0.0,0.0,0.0,mild_drift,0.9651502277374266,0.0006499988555908204,0.5600010681152343,0.8550003433227539,1764739516.9452152,0.5785269737243652,0.11279371380805969
18,4608,4607,NOAA,uspds_csv,ts_drift_adapt_severity,3,0.5783420138888888,0.010790400362036885,0.3333333333333333,0.6821107864379883,0.02588820457458496,0,0.0,0.0,0.0,mild_drift,0.9651501138687133,0.0006499994277954103,0.5600005340576171,0.8550001716613769,1764739516.954644,0.6536698937416077,0.10653086006641388
19,4864,4863,NOAA,uspds_csv,ts_drift_adapt_severity,3,0.5867598684210527,0.012999767399788193,0.4166666666666667,0.6835355162620544,0.022325245663523674,0,0.0,0.0,0.0,mild_drift,0.9651500569343566,0.0006499997138977051,0.5600002670288085,0.8550000858306884,1764739516.963699,0.6639024615287781,0.09178929030895233
20,5120,5119,NOAA,uspds_csv,ts_drift_adapt_severity,3,0.5900390625,0.008763415093970642,0.25,0.6848404407501221,0.020578334107995033,0,0.0,0.0,0.0,mild_drift,0.9651500284671783,0.0006499998569488527,0.5600001335144043,0.8550000429153441,1764739516.9732432,0.5520516633987427,0.08441046625375748
21,5376,5375,NOAA,uspds_csv,ts_drift_adapt_severity,3,0.5922619047619048,0.004173378499723499,0.3333333333333333,0.6862271428108215,0.017144452780485153,0,0.0,0.0,0.0,stable,0.9800750142335892,0.0005249999284744263,0.6300000667572021,0.9000000214576721,1764739516.982225,0.6829414963722229,0.07018011063337326
