step,seen_samples,sample_idx,dataset_name,dataset_type,model_variant,seed,metric_accuracy,metric_kappa,student_error_rate,teacher_entropy,divergence_js,drift_flag,monitor_severity,drift_severity_raw,drift_severity,regime,alpha,lr,lambda_u,tau,timestamp,supervised_loss,unsupervised_loss
1,256,255,INSECTS_abrupt_balanced,insects_real,ts_drift_adapt,1,0.18359375,-0.013294950948827695,0.8333333333333334,1.7026727199554443,0.006341296248137951,0,0.0,0.0,0.0,mild_drift,0.96,0.00115,0.45,0.78,1767760419.4871163,1.8315086364746094,0.02559523843228817
2,512,511,INSECTS_abrupt_balanced,insects_real,ts_drift_adapt,1,0.189453125,-0.008117892099881861,0.9166666666666666,1.703171730041504,0.00747368298470974,0,0.0,0.0,0.0,mild_drift,0.955,0.001225,0.42500000000000004,0.77,1767760419.500503,1.9466062784194946,0.029752444475889206
3,768,767,INSECTS_abrupt_balanced,insects_real,ts_drift_adapt,1,0.18619791666666666,-0.004648592759413863,1.0,1.7033560276031494,0.013170300982892513,0,0.0,0.0,0.0,mild_drift,0.9524999999999999,0.0012625000000000002,0.41250000000000003,0.765,1767760419.5118215,1.9750781059265137,0.05248895660042763
4,1024,1023,INSECTS_abrupt_balanced,insects_real,ts_drift_adapt,1,0.1982421875,0.013028849427449102,0.9166666666666666,1.7100909948349,0.020401308313012123,0,0.0,0.0,0.0,mild_drift,0.9512499999999999,0.0012812500000000003,0.40625,0.7625,1767760419.5227463,1.7741199731826782,0.08133924007415771
5,1280,1279,INSECTS_abrupt_balanced,insects_real,ts_drift_adapt,1,0.2,0.01610893422810734,0.6666666666666666,1.7129878997802734,0.025062119588255882,0,0.0,0.0,0.0,mild_drift,0.9506249999999999,0.001290625,0.403125,0.76125,1767760419.5370808,1.7094378471374512,0.10049355030059814
6,1536,1535,INSECTS_abrupt_balanced,insects_real,ts_drift_adapt,1,0.19986979166666666,0.019294669185259985,0.8333333333333334,1.7183905839920044,0.027894821017980576,0,0.0,0.0,0.0,mild_drift,0.9503124999999999,0.0012953125,0.40156250000000004,0.760625,1767760419.5506573,1.7451910972595215,0.1124715805053711
7,1792,1791,INSECTS_abrupt_balanced,insects_real,ts_drift_adapt,1,0.20368303571428573,0.019669226384143184,0.75,1.7270495891571045,0.03160953149199486,0,0.0,0.0,0.0,mild_drift,0.9501562499999999,0.0012976562500000002,0.40078125000000003,0.7603125,1767760419.5648518,1.8815046548843384,0.1294582486152649
8,2048,2047,INSECTS_abrupt_balanced,insects_real,ts_drift_adapt,1,0.21044921875,0.027483815947590806,0.8333333333333334,1.730523705482483,0.03095931001007557,0,0.0,0.0,0.0,mild_drift,0.9500781249999999,0.001298828125,0.400390625,0.76015625,1767760419.5779452,1.7062187194824219,0.12797723710536957
9,2304,2303,INSECTS_abrupt_balanced,insects_real,ts_drift_adapt,1,0.2170138888888889,0.034512715816262654,0.5833333333333334,1.7319629192352295,0.027567880228161812,0,0.0,0.0,0.0,mild_drift,0.9500390624999999,0.0012994140625,0.4001953125,0.7600781249999999,1767760419.6153357,1.594512939453125,0.11443021893501282
10,2560,2559,INSECTS_abrupt_balanced,insects_real,ts_drift_adapt,1,0.21796875,0.03531511047030344,1.0,1.738150954246521,0.022730272263288498,0,0.0,0.0,0.0,mild_drift,0.9500195312499999,0.0012997070312500002,0.40009765625000004,0.7600390625,1767760419.629527,1.8389891386032104,0.09508811682462692
11,2816,2815,INSECTS_abrupt_balanced,insects_real,ts_drift_adapt,1,0.2159090909090909,0.03221549696538502,0.8333333333333334,1.7412762641906738,0.02044864185154438,0,0.0,0.0,0.0,mild_drift,0.950009765625,0.0012998535156250003,0.40004882812500003,0.76001953125,1767760419.6452937,1.7167282104492188,0.08531533926725388
12,3072,3071,INSECTS_abrupt_balanced,insects_real,ts_drift_adapt,1,0.21647135416666666,0.03255120699779253,0.8333333333333334,1.7410473823547363,0.018197322264313698,0,0.0,0.0,0.0,mild_drift,0.9500048828125,0.0012999267578125001,0.4000244140625,0.760009765625,1767760419.6588311,1.8148905038833618,0.0757303535938263
13,3328,3327,INSECTS_abrupt_balanced,insects_real,ts_drift_adapt,1,0.21604567307692307,0.031726877400051645,0.8333333333333334,1.7486320734024048,0.014554481022059917,0,0.0,0.0,0.0,mild_drift,0.95000244140625,0.00129996337890625,0.40001220703125,0.7600048828125,1767760419.6720068,1.8023351430892944,0.06015076860785484
14,3584,3583,INSECTS_abrupt_balanced,insects_real,ts_drift_adapt,1,0.21428571428571427,0.030285514214986764,0.8333333333333334,1.744140386581421,0.011471288278698921,0,0.0,0.0,0.0,mild_drift,0.950001220703125,0.0012999816894531252,0.40000610351562504,0.7600024414062501,1767760419.6875796,1.7952853441238403,0.04699902981519699
15,3840,3839,INSECTS_abrupt_balanced,insects_real,ts_drift_adapt,1,0.2125,0.027676507105768116,0.9166666666666666,1.7475948333740234,0.009731246158480644,0,0.0,0.0,0.0,mild_drift,0.9500006103515625,0.0012999908447265626,0.40000305175781253,0.760001220703125,1767760419.6997342,2.0244901180267334,0.03951156884431839
16,4096,4095,INSECTS_abrupt_balanced,insects_real,ts_drift_adapt,1,0.212158203125,0.027243355043216892,1.0,1.74566650390625,0.008898494765162468,0,0.0,0.0,0.0,mild_drift,0.9500003051757813,0.0012999954223632815,0.40000152587890625,0.7600006103515625,1767760419.7133143,1.8137949705123901,0.03598766028881073
17,4352,4351,INSECTS_abrupt_balanced,insects_real,ts_drift_adapt,1,0.21001838235294118,0.024513297385965006,0.75,1.7497804164886475,0.0077631594613194466,0,0.0,0.0,0.0,mild_drift,0.9500001525878906,0.0012999977111816407,0.40000076293945314,0.7600003051757813,1767760419.7293591,1.7750831842422485,0.03134411945939064
