step,seen_samples,sample_idx,dataset_name,dataset_type,model_variant,seed,metric_accuracy,metric_kappa,student_error_rate,teacher_entropy,divergence_js,drift_flag,monitor_severity,drift_severity_raw,drift_severity,regime,alpha,lr,lambda_u,tau,timestamp,supervised_loss,unsupervised_loss
1,256,255,INSECTS_abrupt_balanced,insects_real,ts_drift_adapt_severity,3,0.26171875,0.019852524106636415,0.9166666666666666,1.7445025444030762,0.005373313557356596,0,0.0,0.0,0.0,mild_drift,0.96,0.00115,0.45,0.78,1767760373.8316984,1.9257842302322388,0.021684441715478897
2,512,511,INSECTS_abrupt_balanced,insects_real,ts_drift_adapt_severity,3,0.23046875,0.027737212205337303,0.75,1.7451571226119995,0.006257468834519386,0,0.0,0.0,0.0,mild_drift,0.955,0.001225,0.42500000000000004,0.77,1767760373.8439865,1.8923454284667969,0.025143716484308243
3,768,767,INSECTS_abrupt_balanced,insects_real,ts_drift_adapt_severity,3,0.21875,0.023447434006408637,0.8333333333333334,1.7470791339874268,0.00803930964320898,0,0.0,0.0,0.0,mild_drift,0.9524999999999999,0.0012625000000000002,0.41250000000000003,0.765,1767760373.8550062,1.7816306352615356,0.03242522478103638
4,1024,1023,INSECTS_abrupt_balanced,insects_real,ts_drift_adapt_severity,3,0.21875,0.028810838622789277,0.5833333333333334,1.7495718002319336,0.011146586388349533,0,0.0,0.0,0.0,mild_drift,0.9512499999999999,0.0012812500000000003,0.40625,0.7625,1767760373.8658123,1.7163923978805542,0.04520353302359581
5,1280,1279,INSECTS_abrupt_balanced,insects_real,ts_drift_adapt_severity,3,0.20546875,0.016079707702145205,0.75,1.7507957220077515,0.014106054790318012,0,0.0,0.0,0.0,mild_drift,0.9506249999999999,0.001290625,0.403125,0.76125,1767760373.8765976,1.7303365468978882,0.056777603924274445
6,1536,1535,INSECTS_abrupt_balanced,insects_real,ts_drift_adapt_severity,3,0.20377604166666666,0.012701457669253367,0.5,1.7507524490356445,0.020101113244891167,0,0.0,0.0,0.0,mild_drift,0.9503124999999999,0.0012953125,0.40156250000000004,0.760625,1767760373.8874278,1.5897246599197388,0.08087916672229767
7,1792,1791,INSECTS_abrupt_balanced,insects_real,ts_drift_adapt_severity,3,0.19977678571428573,0.011777247166057839,0.75,1.7589701414108276,0.023495635017752647,0,0.0,0.0,0.0,mild_drift,0.9501562499999999,0.0012976562500000002,0.40078125000000003,0.7603125,1767760373.8988945,1.6960850954055786,0.09364192932844162
8,2048,2047,INSECTS_abrupt_balanced,insects_real,ts_drift_adapt_severity,3,0.19775390625,0.010699576862194436,0.6666666666666666,1.7584813833236694,0.026378368958830833,0,0.0,0.0,0.0,mild_drift,0.9500781249999999,0.001298828125,0.400390625,0.76015625,1767760373.9109266,1.6404528617858887,0.10562406480312347
9,2304,2303,INSECTS_abrupt_balanced,insects_real,ts_drift_adapt_severity,3,0.1953125,0.008310786936198834,0.75,1.7621002197265625,0.026192404329776764,0,0.0,0.0,0.0,mild_drift,0.9500390624999999,0.0012994140625,0.4001953125,0.7600781249999999,1767760373.921989,1.7272577285766602,0.10575270652770996
10,2560,2559,INSECTS_abrupt_balanced,insects_real,ts_drift_adapt_severity,3,0.19296875,0.0049549441922060195,0.8333333333333334,1.7636038064956665,0.02446889691054821,0,0.0,0.0,0.0,mild_drift,0.9500195312499999,0.0012997070312500002,0.40009765625000004,0.7600390625,1767760373.933218,1.8037900924682617,0.09945711493492126
11,2816,2815,INSECTS_abrupt_balanced,insects_real,ts_drift_adapt_severity,3,0.1903409090909091,0.002667742006637832,0.6666666666666666,1.7635507583618164,0.021593116223812103,0,0.0,0.0,0.0,mild_drift,0.950009765625,0.0012998535156250003,0.40004882812500003,0.76001953125,1767760373.9444082,1.727468490600586,0.08922399580478668
12,3072,3071,INSECTS_abrupt_balanced,insects_real,ts_drift_adapt_severity,3,0.18912760416666666,0.0019688428274962,0.75,1.7619051933288574,0.01945246197283268,0,0.0,0.0,0.0,mild_drift,0.9500048828125,0.0012999267578125001,0.4000244140625,0.760009765625,1767760373.9565432,1.745070457458496,0.08079396933317184
13,3328,3327,INSECTS_abrupt_balanced,insects_real,ts_drift_adapt_severity,3,0.18990384615384615,0.0029028464920854116,0.9166666666666666,1.7635998725891113,0.01718011312186718,0,0.0,0.0,0.0,mild_drift,0.95000244140625,0.00129996337890625,0.40001220703125,0.7600048828125,1767760373.9677105,1.7027138471603394,0.0718521922826767
