step,seen_samples,sample_idx,dataset_name,dataset_type,model_variant,seed,metric_accuracy,metric_kappa,student_error_rate,teacher_entropy,divergence_js,drift_flag,monitor_severity,drift_severity_raw,drift_severity,regime,alpha,lr,lambda_u,tau,timestamp,supervised_loss,unsupervised_loss
1,256,255,NOAA,uspds_csv,ts_drift_adapt,3,0.3671875,-0.01106831147301185,0.5,0.6421970129013062,0.0042108893394470215,0,0.0,0.0,0.0,mild_drift,0.980075,0.000575,0.6299999999999999,0.8775,1767760114.6394055,0.6792259216308594,0.016919806599617004
2,512,511,NOAA,uspds_csv,ts_drift_adapt,3,0.30859375,-0.0029327460463263208,0.9166666666666666,0.645952582359314,0.004861457273364067,0,0.0,0.0,0.0,mild_drift,0.9726125,0.0006125,0.595,0.86625,1767760114.6481762,0.8758966326713562,0.019203592091798782
3,768,767,NOAA,uspds_csv,ts_drift_adapt,3,0.3216145833333333,-0.009282427960287387,0.75,0.6450768113136292,0.009516946971416473,0,0.0,0.0,0.0,mild_drift,0.9688812499999999,0.0006312500000000001,0.5774999999999999,0.860625,1767760114.6562424,0.7629539966583252,0.0375228077173233
4,1024,1023,NOAA,uspds_csv,ts_drift_adapt,3,0.35546875,-0.08544611796902855,0.75,0.6492242217063904,0.015151815488934517,0,0.0,0.0,0.0,mild_drift,0.9670156249999999,0.0006406250000000001,0.5687499999999999,0.8578125,1767760114.6647742,0.820105791091919,0.060194022953510284
5,1280,1279,NOAA,uspds_csv,ts_drift_adapt,3,0.4171875,-0.04071165285779367,0.4166666666666667,0.6510000824928284,0.01997123472392559,0,0.0,0.0,0.0,mild_drift,0.9660828124999999,0.0006453125,0.5643749999999998,0.85640625,1767760114.6733272,0.7050898671150208,0.07969257980585098
6,1536,1535,NOAA,uspds_csv,ts_drift_adapt,3,0.46875,-0.006512664763994081,0.16666666666666666,0.654960572719574,0.023627473041415215,0,0.0,0.0,0.0,mild_drift,0.9656164062499999,0.00064765625,0.5621874999999998,0.855703125,1767760114.6817527,0.6167418360710144,0.0948595404624939
7,1792,1791,NOAA,uspds_csv,ts_drift_adapt,3,0.5016741071428571,0.0007118788856722281,0.3333333333333333,0.6621469259262085,0.02702939324080944,0,0.0,0.0,0.0,mild_drift,0.9653832031249999,0.0006488281250000001,0.56109375,0.8553515625,1767760114.6901975,0.6843240261077881,0.10961820185184479
8,2048,2047,NOAA,uspds_csv,ts_drift_adapt,3,0.52392578125,-4.407245511621105e-05,0.3333333333333333,0.6615612506866455,0.03006432019174099,0,0.0,0.0,0.0,mild_drift,0.9652666015625,0.0006494140625,0.560546875,0.85517578125,1767760114.699018,0.6410655975341797,0.12237276136875153
9,2304,2303,NOAA,uspds_csv,ts_drift_adapt,3,0.5490451388888888,0.010863798412328457,0.08333333333333333,0.6636236310005188,0.03310249373316765,0,0.0,0.0,0.0,mild_drift,0.96520830078125,0.00064970703125,0.5602734375,0.855087890625,1767760114.708493,0.4821970760822296,0.1353900283575058
10,2560,2559,NOAA,uspds_csv,ts_drift_adapt,3,0.566015625,0.012511648512809566,0.25,0.6710814237594604,0.03338783234357834,0,0.0,0.0,0.0,mild_drift,0.965179150390625,0.0006498535156250001,0.5601367187499999,0.8550439453125,1767760114.718491,0.6243870854377747,0.13764241337776184
