step,seen_samples,sample_idx,dataset_name,dataset_type,model_variant,seed,metric_accuracy,metric_kappa,student_error_rate,teacher_entropy,divergence_js,drift_flag,monitor_severity,drift_severity_raw,drift_severity,regime,alpha,lr,lambda_u,tau,timestamp,supervised_loss,unsupervised_loss
1,256,255,NOAA,uspds_csv,ts_drift_adapt_severity,4,0.3828125,-0.02229186675428398,0.5,0.6659192442893982,0.00522650545462966,0,0.0,0.0,0.0,mild_drift,0.980075,0.000575,0.6299999999999999,0.8775,1767760665.2339272,0.6859214901924133,0.02110091969370842
2,512,511,NOAA,uspds_csv,ts_drift_adapt_severity,4,0.361328125,-0.0005737234652897303,0.75,0.6701152324676514,0.005693584214895964,0,0.0,0.0,0.0,mild_drift,0.9726125,0.0006125,0.595,0.86625,1767760665.2474127,0.8084743022918701,0.022748416289687157
3,768,767,NOAA,uspds_csv,ts_drift_adapt_severity,4,0.4231770833333333,0.027064125734940932,0.6666666666666666,0.6681578755378723,0.009502516128122807,0,0.0,0.0,0.0,mild_drift,0.9688812499999999,0.0006312500000000001,0.5774999999999999,0.860625,1767760665.267217,0.6531556248664856,0.0380370169878006
4,1024,1023,NOAA,uspds_csv,ts_drift_adapt_severity,4,0.44921875,-0.03978481846758774,0.4166666666666667,0.6703338623046875,0.014048464596271515,0,0.0,0.0,0.0,mild_drift,0.9670156249999999,0.0006406250000000001,0.5687499999999999,0.8578125,1767760665.295368,0.6701712012290955,0.05654872581362724
5,1280,1279,NOAA,uspds_csv,ts_drift_adapt_severity,4,0.496875,-0.011428136725373841,0.16666666666666666,0.6702830791473389,0.02109730802476406,0,0.0,0.0,0.0,mild_drift,0.9660828124999999,0.0006453125,0.5643749999999998,0.85640625,1767760665.3063154,0.6465209126472473,0.08583575487136841
6,1536,1535,NOAA,uspds_csv,ts_drift_adapt_severity,4,0.5384114583333334,0.013382907711207585,0.25,0.6696117520332336,0.02569933794438839,0,0.0,0.0,0.0,mild_drift,0.9656164062499999,0.00064765625,0.5621874999999998,0.855703125,1767760665.3156602,0.639102041721344,0.10522658377885818
7,1792,1791,NOAA,uspds_csv,ts_drift_adapt_severity,4,0.5613839285714286,0.012965535026285753,0.25,0.6746225953102112,0.030497414991259575,0,0.0,0.0,0.0,mild_drift,0.9653832031249999,0.0006488281250000001,0.56109375,0.8553515625,1767760665.3253777,0.5610769987106323,0.1261328011751175
8,2048,2047,NOAA,uspds_csv,ts_drift_adapt_severity,4,0.5771484375,0.010165299126791094,0.3333333333333333,0.677290141582489,0.032212331891059875,0,0.0,0.0,0.0,mild_drift,0.9652666015625,0.0006494140625,0.560546875,0.85517578125,1767760665.3354716,0.7176634669303894,0.13440346717834473
9,2304,2303,NOAA,uspds_csv,ts_drift_adapt_severity,4,0.5967881944444444,0.017936158068701503,0.5833333333333334,0.6794483661651611,0.03055882453918457,0,0.0,0.0,0.0,mild_drift,0.96520830078125,0.00064970703125,0.5602734375,0.855087890625,1767760665.3479118,0.7663646340370178,0.12818197906017303
10,2560,2559,NOAA,uspds_csv,ts_drift_adapt_severity,4,0.608203125,0.01733953619381343,0.3333333333333333,0.6802452802658081,0.02777843549847603,0,0.0,0.0,0.0,mild_drift,0.965179150390625,0.0006498535156250001,0.5601367187499999,0.8550439453125,1767760665.3580508,0.6026695370674133,0.11627703160047531
11,2816,2815,NOAA,uspds_csv,ts_drift_adapt_severity,4,0.6139914772727273,0.012477465328545018,0.25,0.6812565326690674,0.021138230338692665,0,0.0,0.0,0.0,mild_drift,0.9651645751953124,0.0006499267578125001,0.560068359375,0.85502197265625,1767760665.368055,0.5676088929176331,0.08747353404760361
12,3072,3071,NOAA,uspds_csv,ts_drift_adapt_severity,4,0.62890625,0.021060964537611294,0.25,0.6836869120597839,0.01924162544310093,0,0.0,0.0,0.0,mild_drift,0.9651572875976562,0.0006499633789062501,0.5600341796874999,0.855010986328125,1767760665.37923,0.615598738193512,0.07939174026250839
13,3328,3327,NOAA,uspds_csv,ts_drift_adapt_severity,4,0.6358173076923077,0.022034160489223277,0.5,0.6851831674575806,0.014813647605478764,0,0.0,0.0,0.0,mild_drift,0.9651536437988281,0.000649981689453125,0.56001708984375,0.8550054931640625,1767760665.3907766,0.7343882918357849,0.06110604479908943
14,3584,3583,NOAA,uspds_csv,ts_drift_adapt_severity,4,0.6378348214285714,0.018167573919738132,0.16666666666666666,0.6830650568008423,0.013461785390973091,0,0.0,0.0,0.0,mild_drift,0.965151821899414,0.0006499908447265626,0.560008544921875,0.8550027465820312,1767760665.4004607,0.5645841956138611,0.055132001638412476
15,3840,3839,NOAA,uspds_csv,ts_drift_adapt_severity,4,0.6408854166666667,0.015953295245231272,0.4166666666666667,0.6825276613235474,0.011899334378540516,0,0.0,0.0,0.0,mild_drift,0.965150910949707,0.0006499954223632813,0.5600042724609375,0.8550013732910156,1767760665.410379,0.6762394905090332,0.048567261546850204
