step,seen_samples,sample_idx,dataset_name,dataset_type,model_variant,seed,metric_accuracy,metric_kappa,student_error_rate,teacher_entropy,divergence_js,drift_flag,drift_severity,regime,alpha,lr,lambda_u,tau,timestamp,supervised_loss,unsupervised_loss
1,64,63,sine_abrupt4,sine,baseline_student,2,0.578125,0.17870722433460076,0.16666666666666666,0.6837788224220276,0.00439901789650321,0,0.0,mild_drift,0.97515,0.00115,0.9,0.8775,1763995971.6570213,0.6004665493965149,0.01778402179479599
2,128,127,sine_abrupt4,sine,baseline_student,2,0.5546875,0.1347248576850095,0.3333333333333333,0.6798091530799866,0.0038902130909264088,0,0.0,mild_drift,0.967725,0.001225,0.8500000000000001,0.86625,1763995971.6649573,0.5945702195167542,0.01558524277061224
3,192,191,sine_abrupt4,sine,baseline_student,2,0.59375,0.20619103148521148,0.5,0.6811328530311584,0.00522133894264698,0,0.0,mild_drift,0.9640124999999999,0.0012625000000000002,0.8250000000000001,0.860625,1763995971.6718473,0.743699848651886,0.02103220671415329
4,256,255,sine_abrupt4,sine,baseline_student,2,0.61328125,0.23496739917894227,0.3333333333333333,0.6799131631851196,0.008569447323679924,0,0.0,mild_drift,0.9621562499999999,0.0012812500000000003,0.8125,0.8578125,1763995971.6792514,0.6301329731941223,0.034521810710430145
5,320,319,sine_abrupt4,sine,baseline_student,2,0.615625,0.2274475936248724,0.3333333333333333,0.6835680603981018,0.010367843322455883,0,0.0,mild_drift,0.9612281249999999,0.001290625,0.80625,0.85640625,1763995971.6870298,0.5228531956672668,0.04226807877421379
6,384,383,sine_abrupt4,sine,baseline_student,2,0.625,0.23423348566680505,0.5,0.6806040406227112,0.016313157975673676,0,0.0,mild_drift,0.9607640624999999,0.0012953125,0.8031250000000001,0.855703125,1763995971.694827,0.6924824118614197,0.06746254116296768
7,448,447,sine_abrupt4,sine,baseline_student,2,0.6450892857142857,0.26694932696661594,0.0,0.6846942901611328,0.010005040094256401,0,0.0,mild_drift,0.9605320312499999,0.0012976562500000002,0.8015625000000001,0.8553515625,1763995971.70275,0.5199185013771057,0.04116375744342804
8,512,511,sine_abrupt4,sine,baseline_student,2,0.650390625,0.27797560898748935,0.3333333333333333,0.6840535998344421,0.013325533829629421,0,0.0,mild_drift,0.9604160156249999,0.001298828125,0.80078125,0.85517578125,1763995971.7106092,0.6531832814216614,0.05565238371491432
9,576,575,sine_abrupt4,sine,baseline_student,2,0.6579861111111112,0.2860342788110639,0.3333333333333333,0.6842895150184631,0.019151723012328148,0,0.0,mild_drift,0.9603580078124999,0.0012994140625,0.800390625,0.855087890625,1763995971.7187448,0.6959571838378906,0.08131084591150284
10,640,639,sine_abrupt4,sine,baseline_student,2,0.6671875,0.299442925565811,0.16666666666666666,0.6797837018966675,0.01434867549687624,0,0.0,mild_drift,0.96032900390625,0.0012997070312500002,0.8001953125000001,0.8550439453125,1763995971.7268116,0.5064715147018433,0.06002156063914299
