step,seen_samples,sample_idx,dataset_name,dataset_type,model_variant,seed,metric_accuracy,metric_kappa,student_error_rate,teacher_entropy,divergence_js,drift_flag,drift_severity,regime,alpha,lr,lambda_u,tau,timestamp,supervised_loss,unsupervised_loss
1,64,63,sine_abrupt4,sine,mean_teacher,5,0.515625,0.04980842911877394,0.5,0.683451235294342,0.0037137216422706842,0,0.0,mild_drift,0.97515,0.00115,0.9,0.8775,1763996003.0625894,0.6431121230125427,0.014833741821348667
2,128,127,sine_abrupt4,sine,mean_teacher,5,0.5234375,0.02982107355864811,0.6666666666666666,0.6851430535316467,0.008214888162910938,0,0.0,mild_drift,0.967725,0.001225,0.8500000000000001,0.86625,1763996003.0699658,0.6497288346290588,0.033542606979608536
3,192,191,sine_abrupt4,sine,mean_teacher,5,0.5416666666666666,0.09598715890850708,0.16666666666666666,0.6845335960388184,0.00648984732106328,0,0.0,mild_drift,0.9640124999999999,0.0012625000000000002,0.8250000000000001,0.860625,1763996003.0764902,0.4605597257614136,0.026537643745541573
4,256,255,sine_abrupt4,sine,mean_teacher,5,0.55078125,0.13483013988480075,0.6666666666666666,0.6835766434669495,0.00675932178273797,0,0.0,mild_drift,0.9621562499999999,0.0012812500000000003,0.8125,0.8578125,1763996003.08293,0.6883082389831543,0.027538016438484192
5,320,319,sine_abrupt4,sine,mean_teacher,5,0.578125,0.18680822227241925,0.5,0.6824484467506409,0.00527255330234766,0,0.0,mild_drift,0.9612281249999999,0.001290625,0.80625,0.85640625,1763996003.0907652,0.7053788304328918,0.02133808471262455
6,384,383,sine_abrupt4,sine,mean_teacher,5,0.6015625,0.22527559470436193,0.3333333333333333,0.6851297616958618,0.007381835021078587,0,0.0,mild_drift,0.9607640624999999,0.0012953125,0.8031250000000001,0.855703125,1763996003.0996475,0.5993110537528992,0.030277466401457787
7,448,447,sine_abrupt4,sine,mean_teacher,5,0.6339285714285714,0.2797003980314111,0.5,0.6847008466720581,0.00970359519124031,0,0.0,mild_drift,0.9605320312499999,0.0012976562500000002,0.8015625000000001,0.8553515625,1763996003.1072378,0.6656376123428345,0.04033321514725685
8,512,511,sine_abrupt4,sine,mean_teacher,5,0.640625,0.2870375976266877,0.5,0.6815416812896729,0.014276886358857155,0,0.0,mild_drift,0.9604160156249999,0.001298828125,0.80078125,0.85517578125,1763996003.114841,0.6644471883773804,0.05934049189090729
9,576,575,sine_abrupt4,sine,mean_teacher,5,0.6649305555555556,0.33357312423566654,0.16666666666666666,0.6834607124328613,0.012324557639658451,0,0.0,mild_drift,0.9603580078124999,0.0012994140625,0.800390625,0.855087890625,1763996003.1229377,0.5705246329307556,0.05187579616904259
10,640,639,sine_abrupt4,sine,mean_teacher,5,0.6765625,0.35400819192510236,0.8333333333333334,0.6762147545814514,0.008472333662211895,0,0.0,mild_drift,0.96032900390625,0.0012997070312500002,0.8001953125000001,0.8550439453125,1763996003.1308634,0.7485052943229675,0.03516698256134987
11,704,703,sine_abrupt4,sine,mean_teacher,5,0.6917613636363636,0.38335351578267535,0.0,0.6824312806129456,0.007934543304145336,0,0.0,mild_drift,0.960314501953125,0.0012998535156250003,0.8000976562500001,0.85502197265625,1763996003.1387267,0.3923874795436859,0.03280379995703697
12,768,767,sine_abrupt4,sine,mean_teacher,5,0.703125,0.40625,0.0,0.682562530040741,0.006050048861652613,0,0.0,mild_drift,0.9603072509765624,0.0012999267578125001,0.800048828125,0.855010986328125,1763996003.1465375,0.3891092538833618,0.024837927892804146
13,832,831,sine_abrupt4,sine,mean_teacher,5,0.7115384615384616,0.42316025444733973,0.0,0.6793330907821655,0.007992836646735668,0,0.0,mild_drift,0.9603036254882812,0.00129996337890625,0.8000244140625,0.8550054931640625,1763996003.1542008,0.4540881812572479,0.03286656737327576
14,896,895,sine_abrupt4,sine,mean_teacher,5,0.7254464285714286,0.4512346324485011,0.0,0.677743136882782,0.007597481831908226,0,0.0,mild_drift,0.9603018127441405,0.0012999816894531252,0.8000122070312501,0.8550027465820312,1763996003.1618145,0.4142066538333893,0.031104063615202904
15,960,959,sine_abrupt4,sine,mean_teacher,5,0.7270833333333333,0.45509376408194396,0.3333333333333333,0.6785694360733032,0.01079902146011591,0,0.0,mild_drift,0.9603009063720702,0.0012999908447265626,0.8000061035156251,0.8550013732910156,1763996003.169605,0.5887165665626526,0.04547737538814545
16,1024,1023,sine_abrupt4,sine,mean_teacher,5,0.7314453125,0.46428843197832803,0.16666666666666666,0.6758407950401306,0.01304638758301735,0,0.0,mild_drift,0.9603004531860351,0.0012999954223632815,0.8000030517578125,0.8550006866455078,1763996003.1773605,0.4591600000858307,0.05575373396277428
17,1088,1087,sine_abrupt4,sine,mean_teacher,5,0.7316176470588235,0.46535806483098907,0.16666666666666666,0.6763366460800171,0.009945391677320004,0,0.0,mild_drift,0.9603002265930175,0.0012999977111816407,0.8000015258789063,0.8550003433227539,1763996003.1850386,0.5845527648925781,0.04162763059139252
18,1152,1151,sine_abrupt4,sine,mean_teacher,5,0.734375,0.4715358668765459,0.0,0.6695012450218201,0.01599241979420185,0,0.0,mild_drift,0.9603001132965088,0.0012999988555908205,0.8000007629394532,0.8550001716613769,1763996003.1926959,0.377744197845459,0.06845197081565857
19,1216,1215,sine_abrupt4,sine,mean_teacher,5,0.734375,0.4723470111557724,0.16666666666666666,0.6742033362388611,0.009147298522293568,0,0.0,mild_drift,0.9603000566482544,0.0012999994277954102,0.8000003814697266,0.8550000858306884,1763996003.2006884,0.5274905562400818,0.038741204887628555
20,1280,1279,sine_abrupt4,sine,mean_teacher,5,0.74140625,0.486535618198124,0.0,0.6657290458679199,0.015580146573483944,0,0.0,mild_drift,0.9603000283241272,0.0012999997138977053,0.8000001907348633,0.8550000429153441,1763996003.2086668,0.5447704195976257,0.06648323684930801
21,1344,1343,sine_abrupt4,sine,mean_teacher,5,0.7455357142857143,0.49490895904530624,0.0,0.673652172088623,0.01273743249475956,0,0.0,stable,0.9751500141620636,0.0010499998569488526,0.9000000953674316,0.9000000214576721,1763996003.2163286,0.31660810112953186,0.054610684514045715
22,1408,1407,sine_abrupt4,sine,mean_teacher,5,0.7542613636363636,0.5122701351957455,0.0,0.6554685831069946,0.014305493794381618,0,0.0,stable,0.9825750070810317,0.0009249999284744264,0.9500000476837158,0.9225000107288361,1763996003.2243202,0.2921849191188812,0.061573296785354614
23,1472,1471,sine_abrupt4,sine,mean_teacher,5,0.7622282608695652,0.527702555283186,0.0,0.6613073945045471,0.016311543062329292,0,0.0,stable,0.9862875035405159,0.0008624999642372132,0.9750000238418579,0.9337500053644181,1763996003.2319844,0.4444713890552521,0.07218954712152481
24,1536,1535,sine_abrupt4,sine,mean_teacher,5,0.7688802083333334,0.5405645878831999,0.0,0.6506189107894897,0.018291274085640907,0,0.0,stable,0.9881437517702579,0.0008312499821186065,0.987500011920929,0.9393750026822091,1763996003.2395358,0.47866514325141907,0.08036664128303528
25,1600,1599,sine_abrupt4,sine,mean_teacher,5,0.77625,0.5548924530647769,0.0,0.6561633348464966,0.01832026056945324,1,0.0,stable,0.9890718758851289,0.0008156249910593032,0.9937500059604645,0.9421875013411045,1763996003.2471313,0.4219904839992523,0.08295240253210068
26,1664,1663,sine_abrupt4,sine,mean_teacher,5,0.78125,0.5644311103376561,0.16666666666666666,0.6549602150917053,0.017664844170212746,0,0.0,mild_drift,0.9746859379425644,0.0010578124955296516,0.8968750029802323,0.8985937506705522,1763996003.2547348,0.36896517872810364,0.07865212112665176
27,1728,1727,sine_abrupt4,sine,mean_teacher,5,0.7858796296296297,0.5733367500560556,0.16666666666666666,0.6572501063346863,0.019989438354969025,0,0.0,mild_drift,0.9674929689712821,0.001178906247764826,0.8484375014901162,0.8767968753352762,1763996003.2626595,0.3346996605396271,0.08876480907201767
28,1792,1791,sine_abrupt4,sine,mean_teacher,5,0.79296875,0.5871716409013233,0.0,0.6508876085281372,0.021441295742988586,0,0.0,mild_drift,0.963896484485641,0.0012394531238824132,0.8242187507450581,0.8658984376676381,1763996003.2705772,0.23836378753185272,0.09833414852619171
29,1856,1855,sine_abrupt4,sine,mean_teacher,5,0.7974137931034483,0.595783698496677,0.0,0.64884352684021,0.02075057663023472,0,0.0,mild_drift,0.9620982422428205,0.0012697265619412068,0.812109375372529,0.8604492188338191,1763996003.2784517,0.22646427154541016,0.09721992909908295
30,1920,1919,sine_abrupt4,sine,mean_teacher,5,0.8010416666666667,0.6026111154456321,0.0,0.6415072083473206,0.02343464456498623,0,0.0,mild_drift,0.9611991211214101,0.0012848632809706034,0.8060546876862645,0.8577246094169095,1763996003.2861857,0.3254459500312805,0.1073942482471466
31,1984,1983,sine_abrupt4,sine,mean_teacher,5,0.8044354838709677,0.6089142864110273,0.16666666666666666,0.6542080044746399,0.025942187756299973,0,0.0,mild_drift,0.960749560560705,0.0012924316404853016,0.8030273438431323,0.8563623047084548,1763996003.2939925,0.30355581641197205,0.11914824694395065
