step,seen_samples,sample_idx,dataset_name,dataset_type,model_variant,seed,metric_accuracy,metric_kappa,student_error_rate,teacher_entropy,divergence_js,drift_flag,monitor_severity,drift_severity_raw,drift_severity,regime,alpha,lr,lambda_u,tau,timestamp,supervised_loss,unsupervised_loss
1,64,63,sine_abrupt4,sine,ts_drift_adapt,1,0.625,0.048327137546468404,0.3333333333333333,0.6447757482528687,0.0019324454478919506,0,0.0,0.0,0.0,mild_drift,0.97515,0.00115,0.9,0.8775,1764759139.8851554,0.6054369807243347,0.00781972985714674
2,128,127,sine_abrupt4,sine,ts_drift_adapt,1,0.5703125,0.0200445434298441,0.3333333333333333,0.6444104909896851,0.0024806230794638395,0,0.0,0.0,0.0,mild_drift,0.967725,0.001225,0.8500000000000001,0.86625,1764759139.8928394,0.5238690972328186,0.009950755164027214
3,192,191,sine_abrupt4,sine,ts_drift_adapt,1,0.609375,0.045346062052505964,0.3333333333333333,0.6354576349258423,0.004430404864251614,0,0.0,0.0,0.0,mild_drift,0.9640124999999999,0.0012625000000000002,0.8250000000000001,0.860625,1764759139.8998775,0.5787726044654846,0.018323639407753944
4,256,255,sine_abrupt4,sine,ts_drift_adapt,1,0.59765625,0.0719414331972406,0.16666666666666666,0.6507975459098816,0.003298831870779395,0,0.0,0.0,0.0,mild_drift,0.9621562499999999,0.0012812500000000003,0.8125,0.8578125,1764759139.9075198,0.4357009828090668,0.013376633636653423
5,320,319,sine_abrupt4,sine,ts_drift_adapt,1,0.60625,0.09078609119198999,0.5,0.6400808095932007,0.0048186215572059155,0,0.0,0.0,0.0,mild_drift,0.9612281249999999,0.001290625,0.80625,0.85640625,1764759139.9144425,0.6565067172050476,0.019595015794038773
6,384,383,sine_abrupt4,sine,ts_drift_adapt,1,0.625,0.1627653453653513,0.6666666666666666,0.6362102031707764,0.006181360222399235,0,0.0,0.0,0.0,mild_drift,0.9607640624999999,0.0012953125,0.8031250000000001,0.855703125,1764759139.921816,0.6665832996368408,0.025191200897097588
7,448,447,sine_abrupt4,sine,ts_drift_adapt,1,0.6540178571428571,0.23029174425822468,0.16666666666666666,0.6445314288139343,0.006563142407685518,0,0.0,0.0,0.0,mild_drift,0.9605320312499999,0.0012976562500000002,0.8015625000000001,0.8553515625,1764759139.9299777,0.48343443870544434,0.026462692767381668
8,512,511,sine_abrupt4,sine,ts_drift_adapt,1,0.685546875,0.31890141124367916,0.16666666666666666,0.6455557346343994,0.010041352361440659,0,0.0,0.0,0.0,mild_drift,0.9604160156249999,0.001298828125,0.80078125,0.85517578125,1764759139.9380996,0.4168945252895355,0.04049878194928169
9,576,575,sine_abrupt4,sine,ts_drift_adapt,1,0.7118055555555556,0.38328968924549484,0.0,0.6354164481163025,0.014929937198758125,0,0.0,0.0,0.0,mild_drift,0.9603580078124999,0.0012994140625,0.800390625,0.855087890625,1764759139.9464326,0.464321494102478,0.06010960042476654
10,640,639,sine_abrupt4,sine,ts_drift_adapt,1,0.728125,0.4254996440326459,0.16666666666666666,0.6506083011627197,0.012258258648216724,0,0.0,0.0,0.0,mild_drift,0.96032900390625,0.0012997070312500002,0.8001953125000001,0.8550439453125,1764759139.9546323,0.5252878069877625,0.05021746829152107
11,704,703,sine_abrupt4,sine,ts_drift_adapt,1,0.7457386363636364,0.47120533091629313,0.16666666666666666,0.6429145336151123,0.009694216772913933,0,0.0,0.0,0.0,mild_drift,0.960314501953125,0.0012998535156250003,0.8000976562500001,0.85502197265625,1764759139.962776,0.6169679760932922,0.04045640677213669
