step,seen_samples,sample_idx,dataset_name,dataset_type,model_variant,seed,monitor_preset,trigger_mode,trigger_k,trigger_threshold,trigger_weights,metric_accuracy,metric_kappa,student_error_rate,teacher_entropy,divergence_js,drift_flag,monitor_severity,monitor_fused_severity,monitor_vote_count,monitor_vote_score,drift_severity_raw,drift_severity,severity_carry,use_severity_v2,entropy_mode,decay,freeze_baseline_steps,regime,alpha,lr,lambda_u,tau,timestamp,supervised_loss,unsupervised_loss
1,64,63,sea_abrupt4,sea,ts_drift_adapt,5,error_divergence_ph_meta,k_of_n,2,0.5,,0.53125,-0.19402985074626866,0.3333333333333333,0.6678375005722046,0.0043163001537323,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,overconfident,0.95,0,mild_drift,0.97515,0.00115,0.9,0.8775,1767764823.1290717,0.5711768269538879,0.01729455217719078
2,128,127,sea_abrupt4,sea,ts_drift_adapt,5,error_divergence_ph_meta,k_of_n,2,0.5,,0.5859375,-0.08370607028753993,0.3333333333333333,0.6669647097587585,0.0051033394411206245,0,0.0,0.0007870392873883247,0,0.0,0.0,0.0,0.0,0,overconfident,0.95,0,mild_drift,0.967725,0.001225,0.8500000000000001,0.86625,1767764823.135861,0.6248214840888977,0.02086317352950573
3,192,191,sea_abrupt4,sea,ts_drift_adapt,5,error_divergence_ph_meta,k_of_n,2,0.5,,0.6041666666666666,-0.05877231171092729,0.0,0.6636234521865845,0.0063822101801633835,0,0.0,0.3333333333333333,0,0.0,0.0,0.0,0.0,0,overconfident,0.95,0,mild_drift,0.9640124999999999,0.0012625000000000002,0.8250000000000001,0.860625,1767764823.1419673,0.3885551393032074,0.02651231922209263
4,256,255,sea_abrupt4,sea,ts_drift_adapt,5,error_divergence_ph_meta,k_of_n,2,0.5,,0.5859375,-0.06174192033805462,0.6666666666666666,0.6696787476539612,0.010325235314667225,0,0.0,0.6666666666666666,0,0.0,0.0,0.0,0.0,0,overconfident,0.95,0,mild_drift,0.9621562499999999,0.0012812500000000003,0.8125,0.8578125,1767764823.1481771,0.9481167197227478,0.043923649936914444
5,320,319,sea_abrupt4,sea,ts_drift_adapt,5,error_divergence_ph_meta,k_of_n,2,0.5,,0.609375,-0.04307916970898086,0.16666666666666666,0.6681578159332275,0.01195563841611147,0,0.0,0.5,0,0.0,0.0,0.0,0.0,0,overconfident,0.95,0,mild_drift,0.9612281249999999,0.001290625,0.80625,0.85640625,1767764823.15512,0.3564777076244354,0.05087726563215256
6,384,383,sea_abrupt4,sea,ts_drift_adapt,5,error_divergence_ph_meta,k_of_n,2,0.5,,0.609375,-0.019216477333050118,0.3333333333333333,0.6699044704437256,0.0136996665969491,0,0.0,0.16666666666666666,0,0.0,0.0,0.0,0.0,0,overconfident,0.95,0,mild_drift,0.9607640624999999,0.0012953125,0.8031250000000001,0.855703125,1767764823.162959,0.6908828616142273,0.059634577482938766
7,448,447,sea_abrupt4,sea,ts_drift_adapt,5,error_divergence_ph_meta,k_of_n,2,0.5,,0.6205357142857143,0.00415805852663533,0.16666666666666666,0.6679776906967163,0.01131246518343687,0,0.0,0.16666666666666666,0,0.0,0.0,0.0,0.0,0,overconfident,0.95,0,mild_drift,0.9605320312499999,0.0012976562500000002,0.8015625000000001,0.8553515625,1767764823.1699948,0.42801347374916077,0.04777814447879791
8,512,511,sea_abrupt4,sea,ts_drift_adapt,5,error_divergence_ph_meta,k_of_n,2,0.5,,0.62890625,0.027511196417146513,0.5,0.6606647968292236,0.007015804294496775,0,0.0,0.33333333333333337,0,0.0,0.0,0.0,0.0,0,overconfident,0.95,0,mild_drift,0.9604160156249999,0.001298828125,0.80078125,0.85517578125,1767764823.1774547,0.7650900483131409,0.029706550762057304
9,576,575,sea_abrupt4,sea,ts_drift_adapt,5,error_divergence_ph_meta,k_of_n,2,0.5,,0.6371527777777778,0.059735066233441436,0.5,0.6607036590576172,0.009840922430157661,0,0.0,0.0028251181356608868,0,0.0,0.0,0.0,0.0,0,overconfident,0.95,0,mild_drift,0.9603580078124999,0.0012994140625,0.800390625,0.855087890625,1767764823.1855574,0.6085020899772644,0.041318606585264206
10,640,639,sea_abrupt4,sea,ts_drift_adapt,5,error_divergence_ph_meta,k_of_n,2,0.5,,0.6484375,0.08233494774407331,0.16666666666666666,0.6645809412002563,0.008658568374812603,0,0.0,0.33333333333333337,0,0.0,0.0,0.0,0.0,0,overconfident,0.95,0,mild_drift,0.96032900390625,0.0012997070312500002,0.8001953125000001,0.8550439453125,1767764823.1953707,0.47514018416404724,0.03629148751497269
11,704,703,sea_abrupt4,sea,ts_drift_adapt,5,error_divergence_ph_meta,k_of_n,2,0.5,,0.6548295454545454,0.10635630406619559,0.3333333333333333,0.6672655344009399,0.007869155146181583,0,0.0,0.16666666666666666,0,0.0,0.0,0.0,0.0,0,overconfident,0.95,0,mild_drift,0.960314501953125,0.0012998535156250003,0.8000976562500001,0.85502197265625,1767764823.2049935,0.670429527759552,0.032436057925224304
12,768,767,sea_abrupt4,sea,ts_drift_adapt,5,error_divergence_ph_meta,k_of_n,2,0.5,,0.6588541666666666,0.10865405060599599,0.16666666666666666,0.6632241010665894,0.00633644126355648,0,0.0,0.16666666666666666,0,0.0,0.0,0.0,0.0,0,overconfident,0.95,0,mild_drift,0.9603072509765624,0.0012999267578125001,0.800048828125,0.855010986328125,1767764823.214508,0.525287926197052,0.026387950405478477
13,832,831,sea_abrupt4,sea,ts_drift_adapt,5,error_divergence_ph_meta,k_of_n,2,0.5,,0.6670673076923077,0.1338284374154363,0.3333333333333333,0.6595593094825745,0.006734143942594528,0,0.0,0.16666666666666666,0,0.0,0.0,0.0,0.0,0,overconfident,0.95,0,mild_drift,0.9603036254882812,0.00129996337890625,0.8000244140625,0.8550054931640625,1767764823.2237155,0.742825984954834,0.028152499347925186
14,896,895,sea_abrupt4,sea,ts_drift_adapt,5,error_divergence_ph_meta,k_of_n,2,0.5,,0.6685267857142857,0.1415520400526463,0.0,0.6538013815879822,0.006272673141211271,0,0.0,0.3333333333333333,0,0.0,0.0,0.0,0.0,0,overconfident,0.95,0,mild_drift,0.9603018127441405,0.0012999816894531252,0.8000122070312501,0.8550027465820312,1767764823.2315574,0.3425900638103485,0.02668885886669159
15,960,959,sea_abrupt4,sea,ts_drift_adapt,5,error_divergence_ph_meta,k_of_n,2,0.5,,0.678125,0.17407283661877695,0.3333333333333333,0.6530852317810059,0.007974985055625439,0,0.0,0.3333333333333333,0,0.0,0.0,0.0,0.0,0,overconfident,0.95,0,mild_drift,0.9603009063720702,0.0012999908447265626,0.8000061035156251,0.8550013732910156,1767764823.2395284,0.4908124506473541,0.03348514437675476
16,1024,1023,sea_abrupt4,sea,ts_drift_adapt,5,error_divergence_ph_meta,k_of_n,2,0.5,,0.6845703125,0.1848178636565288,0.0,0.6580306887626648,0.009021701291203499,0,0.0,0.3333333333333333,0,0.0,0.0,0.0,0.0,0,overconfident,0.95,0,mild_drift,0.9603004531860351,0.0012999954223632815,0.8000030517578125,0.8550006866455078,1767764823.247724,0.29327887296676636,0.038019467145204544
17,1088,1087,sea_abrupt4,sea,ts_drift_adapt,5,error_divergence_ph_meta,k_of_n,2,0.5,,0.6810661764705882,0.17821911486857114,0.3333333333333333,0.6423911452293396,0.008384720422327518,0,0.0,0.3333333333333333,0,0.0,0.0,0.0,0.0,0,overconfident,0.95,0,mild_drift,0.9603002265930175,0.0012999977111816407,0.8000015258789063,0.8550003433227539,1767764823.2549596,0.6415018439292908,0.03617867827415466
18,1152,1151,sea_abrupt4,sea,ts_drift_adapt,5,error_divergence_ph_meta,k_of_n,2,0.5,,0.6901041666666666,0.19230769230769226,0.16666666666666666,0.6428148746490479,0.009778927080333233,0,0.0,0.16666666666666666,0,0.0,0.0,0.0,0.0,0,overconfident,0.95,0,mild_drift,0.9603001132965088,0.0012999988555908205,0.8000007629394532,0.8550001716613769,1767764823.262211,0.376867413520813,0.04165327176451683
19,1216,1215,sea_abrupt4,sea,ts_drift_adapt,5,error_divergence_ph_meta,k_of_n,2,0.5,,0.6998355263157895,0.19983269753589425,0.16666666666666666,0.6510130763053894,0.011874628253281116,0,0.0,0.0020957011729478836,0,0.0,0.0,0.0,0.0,0,overconfident,0.95,0,mild_drift,0.9603000566482544,0.0012999994277954102,0.8000003814697266,0.8550000858306884,1767764823.2695394,0.3626278340816498,0.051439255475997925
20,1280,1279,sea_abrupt4,sea,ts_drift_adapt,5,error_divergence_ph_meta,k_of_n,2,0.5,,0.7015625,0.20325113167148448,0.3333333333333333,0.6303301453590393,0.01242485549300909,0,0.0,0.16666666666666666,0,0.0,0.0,0.0,0.0,0,overconfident,0.95,0,mild_drift,0.9603000283241272,0.0012999997138977053,0.8000001907348633,0.8550000429153441,1767764823.2768097,0.4846036434173584,0.054160717874765396
21,1344,1343,sea_abrupt4,sea,ts_drift_adapt,5,error_divergence_ph_meta,k_of_n,2,0.5,,0.6994047619047619,0.19809779799441718,0.16666666666666666,0.6446288824081421,0.012911032885313034,0,0.0,0.16666666666666666,0,0.0,0.0,0.0,0.0,0,overconfident,0.95,0,stable,0.9751500141620636,0.0010499998569488526,0.9000000953674316,0.9000000214576721,1767764823.2843301,0.35679399967193604,0.05612467974424362
