step,seen_samples,sample_idx,dataset_name,dataset_type,model_variant,seed,metric_accuracy,metric_kappa,student_error_rate,teacher_entropy,divergence_js,drift_flag,drift_severity,regime,alpha,lr,lambda_u,tau,timestamp,supervised_loss,unsupervised_loss
1,64,63,stagger_abrupt3,stagger,mean_teacher,3,0.875,0.3583959899749373,0.16666666666666666,0.6059163808822632,0.007659873925149441,0,0.0,mild_drift,0.97515,0.00115,0.9,0.8775,1763996039.2718706,0.4414723217487335,0.03020133636891842
2,128,127,stagger_abrupt3,stagger,mean_teacher,3,0.859375,0.187014820042343,0.0,0.6065462231636047,0.009175974875688553,0,0.0,mild_drift,0.967725,0.001225,0.8500000000000001,0.86625,1763996039.2789717,0.25178027153015137,0.038869708776474
3,192,191,stagger_abrupt3,stagger,mean_teacher,3,0.8645833333333334,0.1384190541939947,0.3333333333333333,0.6122281551361084,0.017228122800588608,0,0.0,mild_drift,0.9640124999999999,0.0012625000000000002,0.8250000000000001,0.860625,1763996039.285068,0.5749930143356323,0.07772427797317505
4,256,255,stagger_abrupt3,stagger,mean_teacher,3,0.8828125,0.1282633371169126,0.16666666666666666,0.5931880474090576,0.02196292206645012,0,0.0,mild_drift,0.9621562499999999,0.0012812500000000003,0.8125,0.8578125,1763996039.291297,0.33586761355400085,0.10199467837810516
5,320,319,stagger_abrupt3,stagger,mean_teacher,3,0.884375,0.10681955340977728,0.16666666666666666,0.588976263999939,0.020208708941936493,0,0.0,mild_drift,0.9612281249999999,0.001290625,0.80625,0.85640625,1763996039.9788306,0.35295942425727844,0.4789043068885803
6,384,383,stagger_abrupt3,stagger,mean_teacher,3,0.890625,0.09687534998320099,0.0,0.5890071988105774,0.02681915834546089,0,0.0,mild_drift,0.9607640624999999,0.0012953125,0.8031250000000001,0.855703125,1763996039.9850118,0.1412401646375656,0.12608154118061066
7,448,447,stagger_abrupt3,stagger,mean_teacher,3,0.890625,0.08411214953271065,0.0,0.585992157459259,0.020661115646362305,0,0.0,mild_drift,0.9605320312499999,0.0012976562500000002,0.8015625000000001,0.8553515625,1763996039.9913986,0.23337684571743011,0.2058529257774353
8,512,511,stagger_abrupt3,stagger,mean_teacher,3,0.890625,0.10040160642570281,0.0,0.5762273669242859,0.023119118064641953,0,0.0,mild_drift,0.9604160156249999,0.001298828125,0.80078125,0.85517578125,1763996039.9979758,0.18574965000152588,0.19184812903404236
9,576,575,stagger_abrupt3,stagger,mean_teacher,3,0.8888888888888888,0.08860759493670835,0.16666666666666666,0.5660077929496765,0.02081885188817978,0,0.0,mild_drift,0.9603580078124999,0.0012994140625,0.800390625,0.855087890625,1763996040.0054746,0.3179005980491638,0.1628119796514511
10,640,639,stagger_abrupt3,stagger,mean_teacher,3,0.89375,0.1261044176706831,0.0,0.5623887181282043,0.02166246622800827,0,0.0,mild_drift,0.96032900390625,0.0012997070312500002,0.8001953125000001,0.8550439453125,1763996040.0138178,0.12746958434581757,0.18325528502464294
11,704,703,stagger_abrupt3,stagger,mean_teacher,3,0.8892045454545454,0.110880829015544,0.16666666666666666,0.5502880811691284,0.022967034950852394,0,0.0,mild_drift,0.960314501953125,0.0012998535156250003,0.8000976562500001,0.85502197265625,1763996040.0219083,0.21774454414844513,0.24780035018920898
12,768,767,stagger_abrupt3,stagger,mean_teacher,3,0.890625,0.10409954449505629,0.16666666666666666,0.5319651365280151,0.02492407336831093,0,0.0,mild_drift,0.9603072509765624,0.0012999267578125001,0.800048828125,0.855010986328125,1763996040.0306685,0.3054960072040558,0.23727403581142426
13,832,831,stagger_abrupt3,stagger,mean_teacher,3,0.8930288461538461,0.09930423782416205,0.0,0.5172820687294006,0.0217170137912035,0,0.0,mild_drift,0.9603036254882812,0.00129996337890625,0.8000244140625,0.8550054931640625,1763996040.0393362,0.13495929539203644,0.19282391667366028
14,896,895,stagger_abrupt3,stagger,mean_teacher,3,0.890625,0.10518699684092524,0.16666666666666666,0.5066401958465576,0.01821720227599144,0,0.0,mild_drift,0.9603018127441405,0.0012999816894531252,0.8000122070312501,0.8550027465820312,1763996040.0479736,0.25493451952934265,0.21976664662361145
15,960,959,stagger_abrupt3,stagger,mean_teacher,3,0.896875,0.17108568238905938,0.0,0.5105552077293396,0.01755301095545292,0,0.0,mild_drift,0.9603009063720702,0.0012999908447265626,0.8000061035156251,0.8550013732910156,1763996040.0564225,0.09542738646268845,0.1558474898338318
16,1024,1023,stagger_abrupt3,stagger,mean_teacher,3,0.8955078125,0.2136869904696291,0.0,0.5141689777374268,0.014303289353847504,0,0.0,mild_drift,0.9603004531860351,0.0012999954223632815,0.8000030517578125,0.8550006866455078,1763996040.0643935,0.06258311867713928,0.12199275195598602
17,1088,1087,stagger_abrupt3,stagger,mean_teacher,3,0.8961397058823529,0.21453579003858864,0.0,0.48941394686698914,0.022930419072508812,0,0.0,mild_drift,0.9603002265930175,0.0012999977111816407,0.8000015258789063,0.8550003433227539,1763996040.0731227,0.13287918269634247,0.17987871170043945
18,1152,1151,stagger_abrupt3,stagger,mean_teacher,3,0.8967013888888888,0.2411487279410136,0.0,0.5138664841651917,0.022810935974121094,0,0.0,mild_drift,0.9603001132965088,0.0012999988555908205,0.8000007629394532,0.8550001716613769,1763996040.0817778,0.17708496749401093,0.17599868774414062
19,1216,1215,stagger_abrupt3,stagger,mean_teacher,3,0.899671052631579,0.24569592320286374,0.0,0.451960951089859,0.016800416633486748,0,0.0,mild_drift,0.9603000566482544,0.0012999994277954102,0.8000003814697266,0.8550000858306884,1763996040.0908582,0.07020073384046555,0.13577742874622345
20,1280,1279,stagger_abrupt3,stagger,mean_teacher,3,0.9,0.25254792470734283,0.0,0.44562628865242004,0.017241619527339935,0,0.0,mild_drift,0.9603000283241272,0.0012999997138977053,0.8000001907348633,0.8550000429153441,1763996040.0998428,0.14143076539039612,0.13485682010650635
21,1344,1343,stagger_abrupt3,stagger,mean_teacher,3,0.9010416666666666,0.253146151917774,0.16666666666666666,0.44087305665016174,0.017308050766587257,0,0.0,stable,0.9751500141620636,0.0010499998569488526,0.9000000953674316,0.9000000214576721,1763996040.1089902,0.17921853065490723,0.13510370254516602
22,1408,1407,stagger_abrupt3,stagger,mean_teacher,3,0.9012784090909091,0.2657642786398152,0.16666666666666666,0.4276575744152069,0.01480954047292471,0,0.0,stable,0.9825750070810317,0.0009249999284744264,0.9500000476837158,0.9225000107288361,1763996040.1183999,0.16648608446121216,0.11473590135574341
23,1472,1471,stagger_abrupt3,stagger,mean_teacher,3,0.8994565217391305,0.25985921235017617,0.0,0.43171247839927673,0.014482664875686169,0,0.0,stable,0.9862875035405159,0.0008624999642372132,0.9750000238418579,0.9337500053644181,1763996040.1279004,0.041044220328330994,0.11027635633945465
24,1536,1535,stagger_abrupt3,stagger,mean_teacher,3,0.9010416666666666,0.27960307077090213,0.0,0.409839391708374,0.014878547750413418,0,0.0,stable,0.9881437517702579,0.0008312499821186065,0.987500011920929,0.9393750026822091,1763996040.1375618,0.030824104323983192,0.1057230532169342
25,1600,1599,stagger_abrupt3,stagger,mean_teacher,3,0.90375,0.2949242558646628,0.0,0.4007611572742462,0.016021253541111946,1,0.0,stable,0.9890718758851289,0.0008156249910593032,0.9937500059604645,0.9421875013411045,1763996040.147573,0.04212145879864693,0.1034264862537384
26,1664,1663,stagger_abrupt3,stagger,mean_teacher,3,0.9038461538461539,0.30839208433127835,0.0,0.42402777075767517,0.012751133181154728,0,0.0,mild_drift,0.9746859379425644,0.0010578124955296516,0.8968750029802323,0.8985937506705522,1763996040.1581259,0.15690182149410248,0.08765295147895813
27,1728,1727,stagger_abrupt3,stagger,mean_teacher,3,0.9027777777777778,0.30790027035145723,0.16666666666666666,0.41401511430740356,0.014727149158716202,0,0.0,mild_drift,0.9674929689712821,0.001178906247764826,0.8484375014901162,0.8767968753352762,1763996040.1677244,0.29206374287605286,0.10752955079078674
28,1792,1791,stagger_abrupt3,stagger,mean_teacher,3,0.9056919642857143,0.3399530978928923,0.0,0.4019048511981964,0.014082135632634163,0,0.0,mild_drift,0.963896484485641,0.0012394531238824132,0.8242187507450581,0.8658984376676381,1763996040.1773493,0.04213982820510864,0.10628382861614227
29,1856,1855,stagger_abrupt3,stagger,mean_teacher,3,0.9078663793103449,0.3751309292234027,0.0,0.418385773897171,0.013652689754962921,0,0.0,mild_drift,0.9620982422428205,0.0012697265619412068,0.812109375372529,0.8604492188338191,1763996040.1869583,0.22012555599212646,0.11810993403196335
30,1920,1919,stagger_abrupt3,stagger,mean_teacher,3,0.9088541666666666,0.3924402204574055,0.0,0.3979409635066986,0.012417246587574482,0,0.0,mild_drift,0.9611991211214101,0.0012848632809706034,0.8060546876862645,0.8577246094169095,1763996040.1967041,0.04524241387844086,0.10588143765926361
31,1984,1983,stagger_abrupt3,stagger,mean_teacher,3,0.9112903225806451,0.41587709437396225,0.0,0.381017804145813,0.007736978121101856,0,0.0,mild_drift,0.960749560560705,0.0012924316404853016,0.8030273438431323,0.8563623047084548,1763996040.2066927,0.04938199743628502,0.08444297313690186
32,2048,2047,stagger_abrupt3,stagger,mean_teacher,3,0.91357421875,0.43432477138666087,0.0,0.3983868658542633,0.012278148904442787,0,0.0,mild_drift,0.9605247802803525,0.001296215820242651,0.8015136719215662,0.8556811523542274,1763996040.2168887,0.13615746796131134,0.11183629930019379
