step,seen_samples,sample_idx,dataset_name,dataset_type,model_variant,seed,monitor_preset,trigger_mode,trigger_k,trigger_threshold,trigger_weights,confirm_window,severity_scheduler_scale,metric_accuracy,metric_kappa,student_error_rate,teacher_entropy,divergence_js,drift_flag,candidate_flag,candidate_count_total,confirmed_count_total,confirm_delay,monitor_severity,monitor_fused_severity,monitor_vote_count,monitor_vote_score,drift_severity_raw,drift_severity,severity_carry,use_severity_v2,severity_gate,severity_confirmed,severity_gate_min_streak,severity_confirmed_streak,entropy_mode,decay,freeze_baseline_steps,regime,alpha,lr,lambda_u,tau,timestamp,supervised_loss,unsupervised_loss
1,64,63,sea_abrupt4,sea,ts_drift_adapt,5,error_divergence_ph_meta,weighted,2,0.4,"divergence=0.3,error_rate=0.5,teacher_entropy=0.2",200,1.0,0.328125,-0.1923743500866551,0.8333333333333334,0.6783638596534729,0.004096476826816797,0,0,0,0,-1,0.0,0.0,0,0.0,0.0,0.0,0.0,0,none,0,1,0,overconfident,0.95,0,mild_drift,0.97515,0.00115,0.9,0.8775,1767773253.2659116,0.7819525599479675,0.016532529145479202
2,128,127,sea_abrupt4,sea,ts_drift_adapt,5,error_divergence_ph_meta,weighted,2,0.4,"divergence=0.3,error_rate=0.5,teacher_entropy=0.2",200,1.0,0.3828125,-0.18574108818011256,0.5,0.6789533495903015,0.003894425230100751,0,0,0,0,-1,0.0,0.33333333333333337,0,0.0,0.0,0.0,0.0,0,none,0,1,0,overconfident,0.95,0,mild_drift,0.967725,0.001225,0.8500000000000001,0.86625,1767773253.2746546,0.7505345940589905,0.015544012188911438
3,192,191,sea_abrupt4,sea,ts_drift_adapt,5,error_divergence_ph_meta,weighted,2,0.4,"divergence=0.3,error_rate=0.5,teacher_entropy=0.2",200,1.0,0.421875,-0.18822479928635133,0.5,0.6809404492378235,0.005265812389552593,0,0,0,0,-1,0.0,0.0013713871594518423,0,0.0,0.0,0.0,0.0,0,none,0,1,0,overconfident,0.95,0,mild_drift,0.9640124999999999,0.0012625000000000002,0.8250000000000001,0.860625,1767773253.2835243,0.6525482535362244,0.02109702304005623
4,256,255,sea_abrupt4,sea,ts_drift_adapt,5,error_divergence_ph_meta,weighted,2,0.4,"divergence=0.3,error_rate=0.5,teacher_entropy=0.2",200,1.0,0.44921875,-0.18238993710691823,0.6666666666666666,0.6816056966781616,0.00921343732625246,0,0,0,0,-1,0.0,0.16666666666666663,0,0.0,0.0,0.0,0.0,0,none,0,1,0,overconfident,0.95,0,mild_drift,0.9621562499999999,0.0012812500000000003,0.8125,0.8578125,1767773253.2923987,0.6793251037597656,0.03753677010536194
5,320,319,sea_abrupt4,sea,ts_drift_adapt,5,error_divergence_ph_meta,weighted,2,0.4,"divergence=0.3,error_rate=0.5,teacher_entropy=0.2",200,1.0,0.503125,-0.12866015971606035,0.0,0.6755326986312866,0.014014034532010555,0,0,0,0,-1,0.0,0.6666666666666666,0,0.0,0.0,0.0,0.0,0,none,0,1,0,overconfident,0.95,0,mild_drift,0.9612281249999999,0.001290625,0.80625,0.85640625,1767773253.301229,0.49884092807769775,0.05703524872660637
6,384,383,sea_abrupt4,sea,ts_drift_adapt,5,error_divergence_ph_meta,weighted,2,0.4,"divergence=0.3,error_rate=0.5,teacher_entropy=0.2",200,1.0,0.5234375,-0.10720363017583664,0.5,0.6809394955635071,0.015874546021223068,0,0,0,0,-1,0.0,0.5,0,0.0,0.0,0.0,0.0,0,none,0,1,0,overconfident,0.95,0,mild_drift,0.9607640624999999,0.0012953125,0.8031250000000001,0.855703125,1767773253.3099482,0.7151620984077454,0.06579211354255676
7,448,447,sea_abrupt4,sea,ts_drift_adapt,5,error_divergence_ph_meta,weighted,2,0.4,"divergence=0.3,error_rate=0.5,teacher_entropy=0.2",200,1.0,0.5379464285714286,-0.09949729678459623,0.3333333333333333,0.6818846464157104,0.0157732293009758,0,0,0,0,-1,0.0,0.16666666666666669,0,0.0,0.0,0.0,0.0,0,none,0,1,0,overconfident,0.95,0,mild_drift,0.9605320312499999,0.0012976562500000002,0.8015625000000001,0.8553515625,1767773253.3186219,0.5461277365684509,0.06531766057014465
8,512,511,sea_abrupt4,sea,ts_drift_adapt,5,error_divergence_ph_meta,weighted,2,0.4,"divergence=0.3,error_rate=0.5,teacher_entropy=0.2",200,1.0,0.556640625,-0.07107048068416397,0.5,0.6794266700744629,0.017131302505731583,0,0,0,0,-1,0.0,0.16666666666666669,0,0.0,0.0,0.0,0.0,0,none,0,1,0,overconfident,0.95,0,mild_drift,0.9604160156249999,0.001298828125,0.80078125,0.85517578125,1767773253.3273816,0.6360222697257996,0.07068637013435364
9,576,575,sea_abrupt4,sea,ts_drift_adapt,5,error_divergence_ph_meta,weighted,2,0.4,"divergence=0.3,error_rate=0.5,teacher_entropy=0.2",200,1.0,0.5677083333333334,-0.048666354702854416,0.5,0.6833031177520752,0.013522050343453884,0,0,0,0,-1,0.0,0.0036092521622776985,0,0.0,0.0,0.0,0.0,0,none,0,1,0,overconfident,0.95,0,mild_drift,0.9603580078124999,0.0012994140625,0.800390625,0.855087890625,1767773253.3361545,0.6437239646911621,0.05608170107007027
10,640,639,sea_abrupt4,sea,ts_drift_adapt,5,error_divergence_ph_meta,weighted,2,0.4,"divergence=0.3,error_rate=0.5,teacher_entropy=0.2",200,1.0,0.5859375,-0.023289489561964468,0.16666666666666666,0.6851131319999695,0.011625949293375015,0,0,0,0,-1,0.0,0.33333333333333337,0,0.0,0.0,0.0,0.0,0,none,0,1,0,overconfident,0.95,0,mild_drift,0.96032900390625,0.0012997070312500002,0.8001953125000001,0.8550439453125,1767773253.344968,0.551158607006073,0.047958001494407654
11,704,703,sea_abrupt4,sea,ts_drift_adapt,5,error_divergence_ph_meta,weighted,2,0.4,"divergence=0.3,error_rate=0.5,teacher_entropy=0.2",200,1.0,0.59375,-0.0066394688424925895,0.3333333333333333,0.6852841973304749,0.011740067042410374,0,0,0,0,-1,0.0,0.16666666666666666,0,0.0,0.0,0.0,0.0,0,none,0,1,0,overconfident,0.95,0,mild_drift,0.960314501953125,0.0012998535156250003,0.8000976562500001,0.85502197265625,1767773253.353492,0.6164104342460632,0.04857424274086952
12,768,767,sea_abrupt4,sea,ts_drift_adapt,5,error_divergence_ph_meta,weighted,2,0.4,"divergence=0.3,error_rate=0.5,teacher_entropy=0.2",200,1.0,0.6080729166666666,0.014023953321731824,0.16666666666666666,0.687755823135376,0.010738058015704155,0,0,0,0,-1,0.0,0.16666666666666666,0,0.0,0.0,0.0,0.0,0,none,0,1,0,overconfident,0.95,0,mild_drift,0.9603072509765624,0.0012999267578125001,0.800048828125,0.855010986328125,1767773253.3622613,0.5586206316947937,0.04424833506345749
13,832,831,sea_abrupt4,sea,ts_drift_adapt,5,error_divergence_ph_meta,weighted,2,0.4,"divergence=0.3,error_rate=0.5,teacher_entropy=0.2",200,1.0,0.6237980769230769,0.052246953838091234,0.3333333333333333,0.6848283410072327,0.010866610333323479,0,0,0,0,-1,0.0,0.16666666666666666,0,0.0,0.0,0.0,0.0,0,none,0,1,0,overconfident,0.95,0,mild_drift,0.9603036254882812,0.00129996337890625,0.8000244140625,0.8550054931640625,1767773253.3723345,0.655700147151947,0.04511949047446251
14,896,895,sea_abrupt4,sea,ts_drift_adapt,5,error_divergence_ph_meta,weighted,2,0.4,"divergence=0.3,error_rate=0.5,teacher_entropy=0.2",200,1.0,0.6294642857142857,0.06577558916637344,0.16666666666666666,0.68438321352005,0.008336950093507767,0,0,0,0,-1,0.0,0.16666666666666666,0,0.0,0.0,0.0,0.0,0,none,0,1,0,overconfident,0.95,0,mild_drift,0.9603018127441405,0.0012999816894531252,0.8000122070312501,0.8550027465820312,1767773253.3833501,0.48026636242866516,0.034572288393974304
15,960,959,sea_abrupt4,sea,ts_drift_adapt,5,error_divergence_ph_meta,weighted,2,0.4,"divergence=0.3,error_rate=0.5,teacher_entropy=0.2",200,1.0,0.6375,0.09071609373724145,0.3333333333333333,0.6817453503608704,0.014110244810581207,0,0,0,0,-1,0.0,0.16666666666666666,0,0.0,0.0,0.0,0.0,0,none,0,1,0,overconfident,0.95,0,mild_drift,0.9603009063720702,0.0012999908447265626,0.8000061035156251,0.8550013732910156,1767773253.3926685,0.5310975909233093,0.0593719407916069
16,1024,1023,sea_abrupt4,sea,ts_drift_adapt,5,error_divergence_ph_meta,weighted,2,0.4,"divergence=0.3,error_rate=0.5,teacher_entropy=0.2",200,1.0,0.6455078125,0.10121574961554457,0.0,0.6832746267318726,0.013891104608774185,0,0,0,0,-1,0.0,0.3333333333333333,0,0.0,0.0,0.0,0.0,0,none,0,1,0,overconfident,0.95,0,mild_drift,0.9603004531860351,0.0012999954223632815,0.8000030517578125,0.8550006866455078,1767773253.4049695,0.3679422438144684,0.058901697397232056
17,1088,1087,sea_abrupt4,sea,ts_drift_adapt,5,error_divergence_ph_meta,weighted,2,0.4,"divergence=0.3,error_rate=0.5,teacher_entropy=0.2",200,1.0,0.6470588235294118,0.10430021310259384,0.3333333333333333,0.6816928386688232,0.013678010553121567,0,0,0,0,-1,0.0,0.3333333333333333,0,0.0,0.0,0.0,0.0,0,none,0,1,0,overconfident,0.95,0,mild_drift,0.9603002265930175,0.0012999977111816407,0.8000015258789063,0.8550003433227539,1767773253.4149578,0.7146125435829163,0.05803031846880913
18,1152,1151,sea_abrupt4,sea,ts_drift_adapt,5,error_divergence_ph_meta,weighted,2,0.4,"divergence=0.3,error_rate=0.5,teacher_entropy=0.2",200,1.0,0.6527777777777778,0.10561436606924496,0.16666666666666666,0.678756058216095,0.013265612535178661,0,0,0,0,-1,0.0,0.16666666666666666,0,0.0,0.0,0.0,0.0,0,none,0,1,0,overconfident,0.95,0,mild_drift,0.9603001132965088,0.0012999988555908205,0.8000007629394532,0.8550001716613769,1767773253.424331,0.44166290760040283,0.056367430835962296
19,1216,1215,sea_abrupt4,sea,ts_drift_adapt,5,error_divergence_ph_meta,weighted,2,0.4,"divergence=0.3,error_rate=0.5,teacher_entropy=0.2",200,1.0,0.6644736842105263,0.11762759974816202,0.16666666666666666,0.6789634823799133,0.011906957253813744,0,0,0,0,-1,0.0,0.0013586552813649178,0,0.0,0.0,0.0,0.0,0,none,0,1,0,overconfident,0.95,0,mild_drift,0.9603000566482544,0.0012999994277954102,0.8000003814697266,0.8550000858306884,1767773253.4358099,0.4065535068511963,0.05044447258114815
20,1280,1279,sea_abrupt4,sea,ts_drift_adapt,5,error_divergence_ph_meta,weighted,2,0.4,"divergence=0.3,error_rate=0.5,teacher_entropy=0.2",200,1.0,0.66796875,0.12486165092275615,0.3333333333333333,0.673969030380249,0.010703462176024914,0,0,0,0,-1,0.0,0.16666666666666666,0,0.0,0.0,0.0,0.0,0,none,0,1,0,overconfident,0.95,0,mild_drift,0.9603000283241272,0.0012999997138977053,0.8000001907348633,0.8550000429153441,1767773253.446309,0.5334680080413818,0.04544201120734215
