step,seen_samples,sample_idx,dataset_name,dataset_type,model_variant,seed,monitor_preset,trigger_mode,trigger_k,trigger_threshold,trigger_weights,confirm_window,severity_scheduler_scale,metric_accuracy,metric_kappa,student_error_rate,teacher_entropy,divergence_js,drift_flag,candidate_flag,candidate_count_total,confirmed_count_total,confirm_delay,monitor_severity,monitor_fused_severity,monitor_vote_count,monitor_vote_score,drift_severity_raw,drift_severity,severity_carry,use_severity_v2,severity_gate,severity_confirmed,severity_gate_min_streak,severity_confirmed_streak,entropy_mode,decay,freeze_baseline_steps,regime,alpha,lr,lambda_u,tau,timestamp,supervised_loss,unsupervised_loss
1,256,255,INSECTS_abrupt_balanced,insects_real,ts_drift_adapt_severity,7,error_divergence_ph_meta,or,2,0.5,"divergence=0.3,error_rate=0.5,teacher_entropy=0.2",200,2.0,0.15625,-0.03426604818195421,0.8333333333333334,1.7604119777679443,0.006758132018148899,0,0,0,0,-1,0.0,0.0,0,0.0,0.0,0.0,0.0,1,confirmed_streak,0,3,0,uncertain,0.95,5,mild_drift,0.96,0.00115,0.45,0.78,1767803918.0205433,1.7450132369995117,0.02717180736362934
2,512,511,INSECTS_abrupt_balanced,insects_real,ts_drift_adapt_severity,7,error_divergence_ph_meta,or,2,0.5,"divergence=0.3,error_rate=0.5,teacher_entropy=0.2",200,2.0,0.15234375,-0.04549282719877293,0.75,1.7614796161651611,0.008840765804052353,0,0,0,0,-1,0.0,0.08333333333333337,0,0.0,0.0,0.0,0.0,1,confirmed_streak,0,3,0,uncertain,0.95,5,mild_drift,0.955,0.001225,0.42500000000000004,0.77,1767803918.0323305,1.7644919157028198,0.036252643913030624
3,768,767,INSECTS_abrupt_balanced,insects_real,ts_drift_adapt_severity,7,error_divergence_ph_meta,or,2,0.5,"divergence=0.3,error_rate=0.5,teacher_entropy=0.2",200,2.0,0.16145833333333334,-0.035010107520581216,0.8333333333333334,1.7607554197311401,0.010932899080216885,0,0,0,0,-1,0.0,0.08333333333333337,0,0.0,0.0,0.0,0.0,1,confirmed_streak,0,3,0,uncertain,0.95,5,mild_drift,0.9524999999999999,0.0012625000000000002,0.41250000000000003,0.765,1767803918.043807,1.773198127746582,0.04533114656805992
4,1024,1023,INSECTS_abrupt_balanced,insects_real,ts_drift_adapt_severity,7,error_divergence_ph_meta,or,2,0.5,"divergence=0.3,error_rate=0.5,teacher_entropy=0.2",200,2.0,0.173828125,-0.02086861223551871,0.75,1.7592142820358276,0.012264803051948547,0,0,0,0,-1,0.0,0.08333333333333337,0,0.0,0.0,0.0,0.0,1,confirmed_streak,0,3,0,uncertain,0.95,5,mild_drift,0.9512499999999999,0.0012812500000000003,0.40625,0.7625,1767803918.0551522,1.7751058340072632,0.050866056233644485
5,1280,1279,INSECTS_abrupt_balanced,insects_real,ts_drift_adapt_severity,7,error_divergence_ph_meta,or,2,0.5,"divergence=0.3,error_rate=0.5,teacher_entropy=0.2",200,2.0,0.1859375,-0.006454086040897742,0.8333333333333334,1.7579877376556396,0.013269638642668724,0,0,0,0,-1,0.0,0.08333333333333337,0,0.0,0.0,0.0,0.0,1,confirmed_streak,0,3,0,uncertain,0.95,5,mild_drift,0.9506249999999999,0.001290625,0.403125,0.76125,1767803918.0669694,1.7563644647598267,0.05504537373781204
6,1536,1535,INSECTS_abrupt_balanced,insects_real,ts_drift_adapt_severity,7,error_divergence_ph_meta,or,2,0.5,"divergence=0.3,error_rate=0.5,teacher_entropy=0.2",200,2.0,0.18815104166666666,-0.004049448881801744,1.0,1.7590535879135132,0.012869869358837605,0,0,0,0,-1,0.0,0.16666666666666663,0,0.0,0.0,0.0,0.0,1,confirmed_streak,0,3,0,uncertain,0.95,5,mild_drift,0.9503124999999999,0.0012953125,0.40156250000000004,0.760625,1767803918.078535,1.9546810388565063,0.05396842584013939
7,1792,1791,INSECTS_abrupt_balanced,insects_real,ts_drift_adapt_severity,7,error_divergence_ph_meta,or,2,0.5,"divergence=0.3,error_rate=0.5,teacher_entropy=0.2",200,2.0,0.18861607142857142,-0.0027732856314863106,0.5833333333333334,1.7518465518951416,0.011904981918632984,0,0,0,0,-1,0.0,0.41666666666666663,0,0.0,0.0,0.0,0.0,1,confirmed_streak,0,3,0,uncertain,0.95,5,mild_drift,0.9501562499999999,0.0012976562500000002,0.40078125000000003,0.7603125,1767803918.0900273,1.592765212059021,0.04978031665086746
8,2048,2047,INSECTS_abrupt_balanced,insects_real,ts_drift_adapt_severity,7,error_divergence_ph_meta,or,2,0.5,"divergence=0.3,error_rate=0.5,teacher_entropy=0.2",200,2.0,0.1884765625,-0.00206815277304695,0.5833333333333334,1.7541528940200806,0.012683209963142872,0,0,0,0,-1,0.0,0.0007782280445098877,0,0.0,0.0,0.0,0.0,1,confirmed_streak,0,3,0,uncertain,0.95,5,mild_drift,0.9500781249999999,0.001298828125,0.400390625,0.76015625,1767803918.101811,1.6673808097839355,0.05269167199730873
9,2304,2303,INSECTS_abrupt_balanced,insects_real,ts_drift_adapt_severity,7,error_divergence_ph_meta,or,2,0.5,"divergence=0.3,error_rate=0.5,teacher_entropy=0.2",200,2.0,0.1870659722222222,-0.0026610507258583416,0.5833333333333334,1.7539315223693848,0.012513048946857452,0,0,0,0,-1,0.0,0.00017016101628541946,0,0.0,0.0,0.0,0.0,1,confirmed_streak,0,3,0,uncertain,0.95,5,mild_drift,0.9500390624999999,0.0012994140625,0.4001953125,0.7600781249999999,1767803918.113358,1.5941818952560425,0.052304770797491074
10,2560,2559,INSECTS_abrupt_balanced,insects_real,ts_drift_adapt_severity,7,error_divergence_ph_meta,or,2,0.5,"divergence=0.3,error_rate=0.5,teacher_entropy=0.2",200,2.0,0.189453125,0.001060808730788706,0.8333333333333334,1.7498470544815063,0.012885766103863716,0,0,0,0,-1,0.0,0.25,0,0.0,0.0,0.0,0.0,1,confirmed_streak,0,3,0,uncertain,0.95,5,mild_drift,0.9500195312499999,0.0012997070312500002,0.40009765625000004,0.7600390625,1767803918.1249373,1.7445898056030273,0.05312692001461983
