dataset,model,seed,total_steps,detected_events,mean_severity,acc_final,acc_mean,detection_steps
Electricity,ts_drift_adapt,1,177,7,0.005178907721280602,0.5825737679592152,0.5528169457750505,"[25, 50, 75, 100, 125, 150, 175]"
Electricity,ts_drift_adapt,2,177,7,0.00470809792843691,0.5891726070932003,0.5823872125007151,"[25, 50, 75, 100, 125, 150, 175]"
Electricity,ts_drift_adapt,3,177,7,0.007532956685499056,0.5853766193639514,0.5550892784658374,"[25, 50, 75, 100, 125, 150, 175]"
NOAA,ts_drift_adapt,1,71,2,0.001173708920187793,0.6794801189558322,0.6752717474436118,"[25, 50]"
NOAA,ts_drift_adapt,2,71,2,0.004694835680751174,0.6834453133605023,0.6894396781923409,"[25, 50]"
NOAA,ts_drift_adapt,3,71,2,0.002347417840375586,0.6846569005397071,0.6946289248305885,"[25, 50]"
INSECTS_abrupt_balanced,ts_drift_adapt,1,207,8,0.006843800322061191,0.2051393645807709,0.19739274129641532,"[25, 50, 75, 100, 125, 150, 175, 200]"
INSECTS_abrupt_balanced,ts_drift_adapt,2,207,8,0.008856682769726247,0.187087251878063,0.18314441999985923,"[25, 50, 75, 100, 125, 150, 175, 200]"
INSECTS_abrupt_balanced,ts_drift_adapt,3,207,8,0.005636070853462157,0.1970783582795617,0.19594739521588178,"[25, 50, 75, 100, 125, 150, 175, 200]"
Airlines,ts_drift_adapt,1,1000,39,0.008499999999999999,0.6259453125,0.634687623149486,"[25, 50, 75, 101, 126, 151, 176, 201, 226, 252, 277, 302, 327, 352, 377, 402, 427, 452, 477, 502, 527, 552, 577, 602, 627, 653, 678, 703, 728, 753, 778, 803, 828, 853, 878, 903, 928, 953, 978]"
Airlines,ts_drift_adapt,2,1000,40,0.005666666666666665,0.62770703125,0.6469034566548092,"[25, 50, 75, 100, 125, 150, 175, 200, 225, 250, 275, 300, 325, 350, 375, 400, 425, 450, 475, 500, 525, 550, 575, 600, 625, 650, 675, 700, 725, 750, 775, 800, 825, 850, 875, 900, 925, 950, 975, 1000]"
Airlines,ts_drift_adapt,3,1000,40,0.007166666666666665,0.6275859375,0.6407784598872831,"[25, 50, 75, 100, 125, 150, 175, 200, 225, 250, 275, 300, 325, 350, 375, 400, 425, 450, 475, 500, 525, 550, 575, 600, 625, 650, 675, 700, 725, 750, 775, 800, 825, 850, 875, 900, 925, 950, 975, 1000]"
