dataset_name,baseline_variant,severity_variant,baseline_mean_acc,severity_mean_acc,baseline_final_acc,severity_final_acc,baseline_mean_drop_min_acc,severity_mean_drop_min_acc,baseline_max_drop_min_acc,severity_max_drop_min_acc,delta_mean_acc,delta_final_acc,delta_mean_drop_min_acc,delta_max_drop_min_acc
Airlines,ts_drift_adapt,ts_drift_adapt_severity_s0p5,0.6372440943423846,0.6406351397559455,0.6350312488682427,0.6354080692956617,0.0001452205358137501,0.00022592384163742368,0.004573985042735022,0.007128071581196586,0.0033910454135609447,0.00037682042741904453,8.070330582367357e-05,0.002554086538461564
Airlines,ts_drift_adapt,ts_drift_adapt_severity_s1p0,0.6372440943423846,0.6367480313955184,0.6350312488682427,0.634801577229197,0.0001452205358137501,0.00015984600406795705,0.004573985042735022,0.005037226228632452,-0.0004960629468662159,-0.0002296716390457476,1.4625468254206937e-05,0.0004632411858974299
Airlines,ts_drift_adapt,ts_drift_adapt_severity_s2p0,0.6372440943423846,0.6414055772876727,0.6350312488682427,0.6365981333023667,0.0001452205358137501,0.00027438534398440713,0.004573985042735022,0.008108807425213619,0.004161482945288064,0.0015668844341240051,0.00012916480817065702,0.0035348223824785965
Electricity,ts_drift_adapt,ts_drift_adapt_severity_s0p5,0.5760236740710488,0.5723716592116775,0.5760236740710488,0.5723716592116775,3.727258636451873e-06,0.0004161290689080359,0.001723911411411409,0.0018210778117552968,-0.0036520148593712776,-0.0036520148593712776,0.00041240181027158405,9.716640034388791e-05
Electricity,ts_drift_adapt,ts_drift_adapt_severity_s1p0,0.5760236740710488,0.5632663266739982,0.5760236740710488,0.5632663266739982,3.727258636451873e-06,-0.00022632316085049347,0.001723911411411409,0.0014205611861862015,-0.012757347397050589,-0.012757347397050589,-0.00023005041948694535,-0.0003033502252252074
Electricity,ts_drift_adapt,ts_drift_adapt_severity_s2p0,0.5760236740710488,0.5695142349557729,0.5760236740710488,0.5695142349557729,3.727258636451873e-06,4.95859853184249e-05,0.001723911411411409,0.0015362237237237137,-0.006509439115275906,-0.006509439115275906,4.5858726681973026e-05,-0.00018768768768769517
INSECTS_abrupt_balanced,ts_drift_adapt,ts_drift_adapt_severity_s0p5,0.1959711435292161,0.19014730810314742,0.19595111879579427,0.19072178122306707,0.0007091464280744251,0.0007647657425061443,0.007671818727491009,0.007499087375334751,-0.00582383542606868,-0.0052293375727272,5.5619314431719184e-05,-0.0001727313521562579
INSECTS_abrupt_balanced,ts_drift_adapt,ts_drift_adapt_severity_s1p0,0.1959711435292161,0.1973464224724093,0.19595111879579427,0.1976849863710468,0.0007091464280744251,0.0008243400208712016,0.007671818727491009,0.007688492063492064,0.0013752789431931978,0.00173386757525254,0.00011519359279677649,1.667333600105514e-05
INSECTS_abrupt_balanced,ts_drift_adapt,ts_drift_adapt_severity_s2p0,0.1959711435292161,0.19201660302519144,0.19595111879579427,0.19191569355567636,0.0007091464280744251,0.0005979633379406083,0.007671818727491009,0.007494143490729632,-0.003954540504024662,-0.004035425240117907,-0.0001111830901338168,-0.00017767523676137653
NOAA,ts_drift_adapt,ts_drift_adapt_severity_s0p5,0.6765592829855668,0.6682020551391336,0.6765592829855668,0.6682020551391336,-0.00016313556672668353,-0.00047590911364546,0.0020304996998799694,0.0019648484393757584,-0.008357227846433224,-0.008357227846433224,-0.00031277354691877646,-6.565126050421099e-05
NOAA,ts_drift_adapt,ts_drift_adapt_severity_s1p0,0.6765592829855668,0.6564518581638182,0.6765592829855668,0.6564518581638182,-0.00016313556672668353,-0.0008387508649293126,0.0020304996998799694,0.0017751892423636395,-0.020107424821748543,-0.020107424821748543,-0.0006756152982026291,-0.00025531045751632985
NOAA,ts_drift_adapt,ts_drift_adapt_severity_s2p0,0.6765592829855668,0.6435745318744427,0.6765592829855668,0.6435745318744427,-0.00016313556672668353,-0.001328662975606872,0.0020304996998799694,0.0014333858543417548,-0.03298475111112409,-0.03298475111112409,-0.0011655274088801884,-0.0005971138455382146
